 Warehouse Name  ,Item Group Name,Item  Name   ,Unit,Transaction No.,Date,Opening Qty ,Quantity,Closing Qty   ,Landed Cost,Value,Stock Effect
ESS DELHI WAREHOUSE,Electronics Group,SLS_BACKPANEL_LUMIA,Pieces,ISSU0000000467,03-04-2015,0.00,10.00,148.00,230.00,2300.00,Reduced
ESS DELHI WAREHOUSE,Electronics Group,SLS_BACKPANEL_LUMIA,Pieces,RCPT0000000372,03-04-2015,0.00,50.00,148.00,230.00,11500.00,Added
ESS DELHI WAREHOUSE,Electronics Group,SLS_BACKPANEL_LUMIA,Pieces,RCPT0000000371,03-04-2015,0.00,100.00,148.00,230.00,23000.00,Added
ESS DELHI WAREHOUSE,Electronics Group,SLS_MOTO_E_3G,Piece,ISSU0000000497,21-04-2015,0.00,2.00,18.00,6999.00,13998.00,Reduced
ESS DELHI WAREHOUSE,Electronics Group,SLS_MOTO_E_3G,Piece,RCPT0000000376,06-04-2015,0.00,10.00,18.00,6999.00,69990.00,Added
ESS DELHI WAREHOUSE,Electronics Group,SLS_MOTO_E_3G,Piece,RCPT0000000375,06-04-2015,0.00,10.00,18.00,6999.00,69990.00,Added
ESS DELHI WAREHOUSE,Electronics Group,SLS_MOTO_G_3G,Piece,ISSU0000000497,21-04-2015,0.00,2.00,23.00,12999.00,25998.00,Reduced
ESS DELHI WAREHOUSE,Electronics Group,SLS_MOTO_G_3G,Piece,RCPT0000000397,15-04-2015,0.00,10.00,23.00,12999.00,129990.00,Added
ESS DELHI WAREHOUSE,Electronics Group,SLS_MOTO_G_3G,Piece,RCPT0000000376,06-04-2015,0.00,10.00,23.00,12999.00,129990.00,Added
ESS DELHI WAREHOUSE,Electronics Group,SLS_MOTO_G_3G,Piece,RCPT0000000375,06-04-2015,0.00,5.00,23.00,12999.00,64995.00,Added
ESS DELHI WAREHOUSE,Electronics Group,SLS_FIFA_15,Piece,ISSU0000000497,21-04-2015,0.00,2.00,2.00,1900.00,3800.00,Reduced
ESS DELHI WAREHOUSE,Electronics Group,SLS_FIFA_15,Piece,ISSU0000000490,17-04-2015,0.00,1.00,2.00,1900.00,1900.00,Reduced
ESS DELHI WAREHOUSE,Electronics Group,SLS_FIFA_15,Piece,ISSU0000000487,15-04-2015,0.00,2.00,2.00,1900.00,3800.00,Reduced
ESS DELHI WAREHOUSE,Electronics Group,SLS_FIFA_15,Piece,RCPT0000000395,15-04-2015,0.00,1.00,2.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,Electronics Group,SLS_FIFA_15,Piece,ISSU0000000485,15-04-2015,0.00,1.00,2.00,1900.00,1900.00,Reduced
ESS DELHI WAREHOUSE,Electronics Group,SLS_FIFA_15,Piece,ISSU0000000484,15-04-2015,0.00,2.00,2.00,1900.00,3800.00,Reduced
ESS DELHI WAREHOUSE,Electronics Group,SLS_FIFA_15,Piece,ISSU0000000488,15-04-2015,0.00,1.00,2.00,1900.00,1900.00,Reduced
ESS DELHI WAREHOUSE,Electronics Group,SLS_FIFA_15,Piece,RCPT0000000393,14-04-2015,0.00,10.00,2.00,1900.00,19000.00,Added
ESS DELHI WAREHOUSE,Electronics Group,Lenovo Laptop,Piece,RCPT0000000399,17-04-2015,0.00,147.74,147.74,660.01,97510.02,Added
ESS DELHI WAREHOUSE,Electronics Group,mouse1,Piece,ISSU0000000529,24-04-2015,0.00,1.00,7.00,150.00,150.00,Reduced
ESS DELHI WAREHOUSE,Electronics Group,mouse1,Piece,ISSU0000000527,24-04-2015,0.00,1.00,7.00,150.00,150.00,Reduced
ESS DELHI WAREHOUSE,Electronics Group,mouse1,Piece,ISSU0000000504,23-04-2015,0.00,1.00,7.00,150.00,150.00,Reduced
ESS DELHI WAREHOUSE,Electronics Group,mouse1,Piece,RCPT0000000407,21-04-2015,0.00,10.00,7.00,150.00,1500.00,Added
ESS DELHI WAREHOUSE,Electronics Group,Television,Piece,ISSU0000000529,24-04-2015,0.00,1.00,3.00,2200.00,2200.00,Reduced
ESS DELHI WAREHOUSE,Electronics Group,Television,Piece,ISSU0000000528,24-04-2015,0.00,1.00,3.00,2200.00,2200.00,Reduced
ESS DELHI WAREHOUSE,Electronics Group,Television,Piece,RCPT0000000408,21-04-2015,0.00,5.00,3.00,2200.00,11000.00,Added
ESS DELHI WAREHOUSE,Electronics Group,PenDrive,Piece,RCPT0000000409,21-04-2015,0.00,10.00,10.00,890.00,8900.00,Added
ESS DELHI WAREHOUSE,Electronics Group,Acer laptop,unit (1),ISSU0000000491,17-04-2015,0.00,5.00,9990.00,30000.00,150000.00,Reduced
ESS DELHI WAREHOUSE,Electronics Group,Acer laptop,unit (1),ISSU0000000489,17-04-2015,0.00,5.00,9990.00,30000.00,150000.00,Reduced
ESS DELHI WAREHOUSE,Electronics Group,Acer laptop,unit (1),RCPT0000000398,17-04-2015,0.00,10000.00,9990.00,30000.00,300000000.00,Added
ESS DELHI WAREHOUSE,FINISHED GOODS,SlimFIt Blazer,Piece,RCPT0000000420,23-04-2015,45.00,1.00,45.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,FINISHED GOODS,SlimFIt Blazer,Piece,ISSU0000000523,17-03-2015,45.00,1.00,45.00,1290.00,1290.00,Reduced
ESS DELHI WAREHOUSE,FINISHED GOODS,Leather Jackets,Piece,ISSU0000000523,17-03-2015,79.00,1.00,78.00,700.00,700.00,Reduced
ESS DELHI WAREHOUSE,FINISHED GOODS,JPJ Jwellers Golden Ring,Piece,RCPT0000000397,15-04-2015,18.00,10.00,25.00,56000.00,560000.00,Added
ESS DELHI WAREHOUSE,FINISHED GOODS,JPJ Jwellers Golden Ring,Piece,ISSU0000000459,03-04-2015,18.00,1.00,25.00,56000.00,56000.00,Reduced
ESS DELHI WAREHOUSE,FINISHED GOODS,JPJ Jwellers Golden Ring,Piece,ISSU0000000456,03-04-2015,18.00,1.00,25.00,56000.00,56000.00,Reduced
ESS DELHI WAREHOUSE,FINISHED GOODS,JPJ Jwellers Golden Ring,Piece,ISSU0000000442,01-04-2015,18.00,1.00,25.00,56000.00,56000.00,Reduced
ESS DELHI WAREHOUSE,FINISHED GOODS,AL5767654,Piece,RCPT0000000421,23-04-2015,84.00,1.00,85.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,FINISHED GOODS,ALU 5550,Piece,RCPT0000000425,23-04-2015,44.00,1.00,55.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,FINISHED GOODS,ALU 5550,Piece,RCPT0000000392,10-04-2015,44.00,10.00,55.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,FINISHED GOODS,Leather Purse,Piece,ISSU0000000498,21-04-2015,0.00,2.00,7.00,20.00,40.00,Reduced
ESS DELHI WAREHOUSE,FINISHED GOODS,Leather Purse,Piece,RCPT0000000397,15-04-2015,0.00,10.00,7.00,20.00,200.00,Added
ESS DELHI WAREHOUSE,FINISHED GOODS,Leather Purse,Piece,ISSU0000000488,15-04-2015,0.00,1.00,7.00,0.00,0.00,Reduced
ESS DELHI WAREHOUSE,FINISHED GOODS,Travel Bag,Piece,ISSU0000000521,08-01-2015,14.00,3.00,8.00,333.33,1000.00,Reduced
ESS DELHI WAREHOUSE,FINISHED GOODS,Travel Bag,Piece,ISSU0000000519,08-01-2015,14.00,3.00,8.00,333.33,1000.00,Reduced
ESS DELHI WAREHOUSE,FINISHED GOODS,op1,kilogram (kg),RCPT0000000420,23-04-2015,239.00,1.00,296.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,FINISHED GOODS,op1,kilogram (kg),RCPT0000000381,07-04-2015,239.00,1.00,296.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,FINISHED GOODS,op1,kilogram (kg),RCPT0000000380,06-04-2015,239.00,1.00,296.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,FINISHED GOODS,op1,kilogram (kg),RCPT0000000379,06-04-2015,239.00,4.00,296.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,FINISHED GOODS,op1,kilogram (kg),RCPT0000000378,06-04-2015,239.00,4.00,296.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,FINISHED GOODS,op1,kilogram (kg),RCPT0000000377,06-04-2015,239.00,1.00,296.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,FINISHED GOODS,op1,kilogram (kg),RCPT0000000374,04-04-2015,239.00,3.00,296.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,FINISHED GOODS,op1,kilogram (kg),RCPT0000000368,03-04-2015,239.00,4.00,296.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,FINISHED GOODS,op1,kilogram (kg),RCPT0000000369,03-04-2015,239.00,4.00,296.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,FINISHED GOODS,op1,kilogram (kg),RCPT0000000366,03-04-2015,239.00,1.00,296.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,FINISHED GOODS,op1,kilogram (kg),RCPT0000000367,03-04-2015,239.00,1.00,296.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,FINISHED GOODS,op1,kilogram (kg),RCPT0000000364,02-04-2015,239.00,4.00,296.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,FINISHED GOODS,op1,kilogram (kg),RCPT0000000365,02-04-2015,239.00,4.00,296.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,FINISHED GOODS,op1,kilogram (kg),RCPT0000000362,02-04-2015,239.00,2.00,296.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,FINISHED GOODS,op1,kilogram (kg),RCPT0000000363,02-04-2015,239.00,2.00,296.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,FINISHED GOODS,op1,kilogram (kg),RCPT0000000360,02-04-2015,239.00,2.00,296.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,FINISHED GOODS,op1,kilogram (kg),RCPT0000000361,02-04-2015,239.00,2.00,296.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,FINISHED GOODS,op1,kilogram (kg),RCPT0000000358,02-04-2015,239.00,2.00,296.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,FINISHED GOODS,op1,kilogram (kg),RCPT0000000359,02-04-2015,239.00,2.00,296.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,FINISHED GOODS,op1,kilogram (kg),RCPT0000000356,02-04-2015,239.00,2.00,296.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,FINISHED GOODS,op1,kilogram (kg),RCPT0000000357,02-04-2015,239.00,2.00,296.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,FINISHED GOODS,op1,kilogram (kg),RCPT0000000354,02-04-2015,239.00,2.00,296.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,FINISHED GOODS,op1,kilogram (kg),RCPT0000000355,02-04-2015,239.00,2.00,296.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,FINISHED GOODS,op1,kilogram (kg),RCPT0000000352,02-04-2015,239.00,2.00,296.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,FINISHED GOODS,op1,kilogram (kg),RCPT0000000353,02-04-2015,239.00,2.00,296.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,FINISHED GOODS,Wiki Bag,Pieces,RCPT0000000420,23-04-2015,10.00,1.00,10.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,FINISHED GOODS,Wiki Bag,Pieces,ISSU0000000516,16-03-2015,10.00,1.00,10.00,100.00,100.00,Reduced
ESS DELHI WAREHOUSE,FINISHED GOODS,Item For Barcode,Piece,ISSU0000000477,07-04-2015,0.00,10.00,990.00,1000.00,10000.00,Reduced
ESS DELHI WAREHOUSE,FINISHED GOODS,Item For Barcode,Piece,RCPT0000000382,07-04-2015,0.00,1000.00,990.00,1000.00,1000000.00,Added
ESS DELHI WAREHOUSE,Two Wheeler,Lan Cable,Piece,RCPT0000000389,10-04-2015,5.00,5.00,10.00,1300.00,6500.00,Added
ESS DELHI WAREHOUSE,Four Wheeler,Lenovo Adapter,Pieces,RCPT0000000399,17-04-2015,0.00,247.88,247.88,689.36,170878.31,Added
ESS DELHI WAREHOUSE,Two Wheeler,FREE TWO,Pieces,RCPT0000000402,18-04-2015,0.00,78.00,78.00,10.00,780.00,Added
ESS DELHI WAREHOUSE,Two Wheeler,Adapter One,Pieces,RCPT0000000424,23-04-2015,192.00,1.00,201.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,Two Wheeler,Adapter One,Pieces,RCPT0000000427,23-04-2015,192.00,1.00,201.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,Two Wheeler,Adapter One,Pieces,RCPT0000000410,21-04-2015,192.00,10.00,201.00,100.00,1000.00,Added
ESS DELHI WAREHOUSE,Two Wheeler,Adapter One,Pieces,ISSU0000000481,07-04-2015,192.00,2.00,201.00,700.00,1400.00,Reduced
ESS DELHI WAREHOUSE,Two Wheeler,Adapter One,Pieces,ISSU0000000513,16-03-2015,192.00,1.00,201.00,700.00,700.00,Reduced
ESS DELHI WAREHOUSE,Two Wheeler,Mobile Display,Pieces,RCPT0000000400,18-04-2015,5.00,5.00,10.00,1095.50,5477.52,Added
ESS DELHI WAREHOUSE,Honda vehicle,Mobile Keypad,Pieces,RCPT0000000430,24-04-2015,5.00,12.00,27.00,100.00,1200.00,Added
ESS DELHI WAREHOUSE,Honda vehicle,Mobile Keypad,Pieces,RCPT0000000414,22-04-2015,5.00,5.00,27.00,100.00,500.00,Added
ESS DELHI WAREHOUSE,Honda vehicle,Mobile Keypad,Pieces,RCPT0000000413,22-04-2015,5.00,5.00,27.00,100.00,500.00,Added
ESS DELHI WAREHOUSE,Packaging,gun,Piece,RCPT0000000386,07-04-2015,0.00,1.00,1.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,Packaging,SLS_TOOL_BOX,Piece,ISSU0000000492,17-04-2015,0.00,1.00,3.00,12000.00,12000.00,Reduced
ESS DELHI WAREHOUSE,Packaging,SLS_TOOL_BOX,Piece,ISSU0000000487,15-04-2015,0.00,3.00,3.00,12000.00,36000.00,Reduced
ESS DELHI WAREHOUSE,Packaging,SLS_TOOL_BOX,Piece,ISSU0000000486,15-04-2015,0.00,1.00,3.00,12000.00,12000.00,Reduced
ESS DELHI WAREHOUSE,Packaging,SLS_TOOL_BOX,Piece,RCPT0000000396,15-04-2015,0.00,1.00,3.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,Packaging,SLS_TOOL_BOX,Piece,ISSU0000000484,15-04-2015,0.00,2.00,3.00,12000.00,24000.00,Reduced
ESS DELHI WAREHOUSE,Packaging,SLS_TOOL_BOX,Piece,ISSU0000000488,15-04-2015,0.00,1.00,3.00,12000.00,12000.00,Reduced
ESS DELHI WAREHOUSE,Packaging,SLS_TOOL_BOX,Piece,RCPT0000000394,15-04-2015,0.00,10.00,3.00,12000.00,120000.00,Added
ESS DELHI WAREHOUSE,Packaging,SLS [TIFIN BOX] [SR],Piece,ISSU0000000503,22-04-2015,0.00,2.00,2.00,320.00,640.00,Reduced
ESS DELHI WAREHOUSE,Packaging,SLS [TIFIN BOX] [SR],Piece,ISSU0000000502,22-04-2015,0.00,1.00,2.00,320.00,320.00,Reduced
ESS DELHI WAREHOUSE,Packaging,SLS [TIFIN BOX] [SR],Piece,ISSU0000000501,21-04-2015,0.00,3.00,2.00,320.00,960.00,Reduced
ESS DELHI WAREHOUSE,Packaging,SLS [TIFIN BOX] [SR],Piece,ISSU0000000496,20-04-2015,0.00,2.00,2.00,320.00,640.00,Reduced
ESS DELHI WAREHOUSE,Packaging,SLS [TIFIN BOX] [SR],Piece,RCPT0000000406,20-04-2015,0.00,10.00,2.00,320.00,3200.00,Added
ESS DELHI WAREHOUSE,RAW MATERIAL,ip1,kilogram (kg),RCPT0000000418,23-04-2015,17.00,1.00,28.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,RAW MATERIAL,ip1,kilogram (kg),ISSU0000000479,07-04-2015,17.00,20.00,28.00,100.00,2000.00,Reduced
ESS DELHI WAREHOUSE,RAW MATERIAL,ip1,kilogram (kg),RCPT0000000385,07-04-2015,17.00,30.00,28.00,100.00,3000.00,Added
ESS DELHI WAREHOUSE,RAW MATERIAL,ip1,kilogram (kg),ISSU0000000478,07-04-2015,17.00,10.00,28.00,100.00,1000.00,Reduced
ESS DELHI WAREHOUSE,RAW MATERIAL,ip1,kilogram (kg),RCPT0000000384,07-04-2015,17.00,10.00,28.00,100.00,1000.00,Added
ESS DELHI WAREHOUSE,RAW MATERIAL,ip2,Pieces,RCPT0000000418,23-04-2015,103.00,1.00,114.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,RAW MATERIAL,ip2,Pieces,RCPT0000000383,07-04-2015,103.00,10.00,114.00,50.00,500.00,Added
ESS DELHI WAREHOUSE,SEMI FINISHED GOODS,ITEM MNF 1,kilogram per ,RCPT0000000417,23-04-2015,30.00,1.00,32.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,SEMI FINISHED GOODS,ITEM MNF 1,kilogram per ,RCPT0000000427,23-04-2015,30.00,1.00,32.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,Seamens Schnapps,Adapter,pair,RCPT0000000415,23-04-2015,10.00,1.00,15.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,Seamens Schnapps,Adapter,pair,RCPT0000000412,21-04-2015,10.00,2.00,15.00,866.43,1732.86,Added
ESS DELHI WAREHOUSE,Seamens Schnapps,Adapter,pair,RCPT0000000405,20-04-2015,10.00,2.00,15.00,1213.00,2426.00,Added
ESS DELHI WAREHOUSE,White Spirit,asa,Piece,RCPT0000000391,10-04-2015,0.00,3.00,3.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,TOOLS,Microsoft Office,Piece,RCPT0000000416,23-04-2015,10992.00,2.00,11603.01,0.00,0.00,Added
ESS DELHI WAREHOUSE,TOOLS,Microsoft Office,Piece,RCPT0000000428,23-04-2015,10992.00,2.00,11603.01,0.00,0.00,Added
ESS DELHI WAREHOUSE,TOOLS,Microsoft Office,Piece,RCPT0000000400,18-04-2015,10992.00,10.00,11603.01,2283.39,22833.94,Added
ESS DELHI WAREHOUSE,TOOLS,Microsoft Office,Piece,RCPT0000000399,17-04-2015,10992.00,598.01,11603.01,652.35,390114.81,Added
ESS DELHI WAREHOUSE,TOOLS,Microsoft Office,Piece,ISSU0000000480,07-04-2015,10992.00,1.00,11603.01,7600.00,7600.00,Reduced
ESS DELHI WAREHOUSE,TOOLS,ITEM MNF TOOL 1,Piece,RCPT0000000417,23-04-2015,8.00,1.00,9.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,TOOLS,NTool,dozen,ISSU0000000476,07-04-2015,595.00,5.00,515.00,100.00,500.00,Reduced
ESS DELHI WAREHOUSE,TOOLS,NTool,dozen,ISSU0000000475,06-04-2015,595.00,5.00,515.00,100.00,500.00,Reduced
ESS DELHI WAREHOUSE,TOOLS,NTool,dozen,ISSU0000000474,06-04-2015,595.00,5.00,515.00,100.00,500.00,Reduced
ESS DELHI WAREHOUSE,TOOLS,NTool,dozen,ISSU0000000473,06-04-2015,595.00,5.00,515.00,100.00,500.00,Reduced
ESS DELHI WAREHOUSE,TOOLS,NTool,dozen,ISSU0000000472,06-04-2015,595.00,5.00,515.00,100.00,500.00,Reduced
ESS DELHI WAREHOUSE,TOOLS,NTool,dozen,ISSU0000000455,03-04-2015,595.00,5.00,515.00,100.00,500.00,Reduced
ESS DELHI WAREHOUSE,TOOLS,NTool,dozen,ISSU0000000454,03-04-2015,595.00,5.00,515.00,100.00,500.00,Reduced
ESS DELHI WAREHOUSE,TOOLS,NTool,dozen,ISSU0000000469,03-04-2015,595.00,5.00,515.00,100.00,500.00,Reduced
ESS DELHI WAREHOUSE,TOOLS,NTool,dozen,ISSU0000000453,02-04-2015,595.00,5.00,515.00,100.00,500.00,Reduced
ESS DELHI WAREHOUSE,TOOLS,NTool,dozen,ISSU0000000452,02-04-2015,595.00,5.00,515.00,100.00,500.00,Reduced
ESS DELHI WAREHOUSE,TOOLS,NTool,dozen,ISSU0000000451,02-04-2015,595.00,5.00,515.00,100.00,500.00,Reduced
ESS DELHI WAREHOUSE,TOOLS,NTool,dozen,ISSU0000000450,02-04-2015,595.00,5.00,515.00,100.00,500.00,Reduced
ESS DELHI WAREHOUSE,TOOLS,NTool,dozen,ISSU0000000449,02-04-2015,595.00,5.00,515.00,100.00,500.00,Reduced
ESS DELHI WAREHOUSE,TOOLS,NTool,dozen,ISSU0000000448,02-04-2015,595.00,5.00,515.00,100.00,500.00,Reduced
ESS DELHI WAREHOUSE,TOOLS,NTool,dozen,ISSU0000000447,02-04-2015,595.00,5.00,515.00,100.00,500.00,Reduced
ESS DELHI WAREHOUSE,TOOLS,NTool,dozen,ISSU0000000445,02-04-2015,595.00,5.00,515.00,100.00,500.00,Reduced
