Supplier Name,Order No ,Order Date ,Item Code	,Item Description,Unit,Ordered Qty,Gross Amount,Discount,Net Amount,Pending Qty
Navigant Consulting,PO00085,18-04-2015,RM.0000011,Input Itm T2,kg,10.00,1000.00,10.00,990.00,10.00
Navigant Consulting,IPO00013,20-04-2015,SSC.0000002,Adapter,pair,5.00,50.00,0.00,80.00,5.00
Navigant Consulting,IPO00016,21-04-2015,SSC.0000002,Adapter,pair,4.00,40.00,0.00,65.00,4.00
Navigant Consulting,PO00087,21-04-2015,EG.Red.Po3.0000001,Test item Stock one,Piece,12.00,479.76,0.00,808.44,12.00
Navigant Consulting,PO00087,21-04-2015,TLS.0000002,Microsoft Office,Piece,7.00,227.29,4.00,808.44,7.00
Navigant Consulting,IPO00017,21-04-2015,ITM.0000019,Adapter One,Pcs,7.00,229.18,4.00,829.56,7.00
Navigant Consulting,IPO00017,21-04-2015,TLS.0000002,Microsoft Office,Piece,12.00,479.76,0.00,829.56,12.00
Navigant Consulting,PO00088,21-04-2015,SSC.0000002,Adapter,pair,10.00,100.00,0.00,110.00,8.00
Navigant Consulting,IPO00018,22-04-2015,COM.0000002,Leather,kg,40565.00,1541470.00,0.00,4993121.75,40565.00
Navigant Consulting,IPO00019,22-04-2015,COM.0000002,Leather,kg,40565.00,1541470.00,0.00,2747791.97,40565.00
Navigant Consulting,IPO00033,22-04-2015,TLS.0000002,Microsoft Office,Piece,10.00,100.00,0.00,100.00,10.00
Navigant Consulting,IPO00020,22-04-2015,AM.0003,item220,kg.m3,10.00,1200.00,0.00,1200.00,10.00
Navigant Consulting,IPO00021,22-04-2015,ALC.0000001,Alcohol,l,10.00,1400.00,0.00,1400.00,10.00
Navigant Consulting,IPO00022,22-04-2015,COM.0000002,Leather,kg,40565.00,1541470.00,0.00,3132394.19,40565.00
Navigant Consulting,IPO00023,22-04-2015,COM.0000002,Leather,kg,40565.00,1541470.00,0.00,4988605.43,40565.00
Eastern Software Systems Pvt. Ltd.,PO00091,28-04-2015,CAP.0001,cup_test,Piece,10.00,0.00,0.00,784271.00,10.00
Eastern Software Systems Pvt. Ltd.,PO00091,28-04-2015,EG.0004,cup01,Piece,10.00,1000.00,0.00,784271.00,10.00
Eastern Software Systems Pvt. Ltd.,PO00091,28-04-2015,FG.0000003,Leather Jackets,Piece,10.00,780000.00,0.00,784271.00,10.00
Eastern Software Systems Pvt. Ltd.,PO00091,28-04-2015,ITM.0000017,Tea Cup,Piece,10.00,155.00,0.00,784271.00,10.00
Eastern Software Systems Pvt. Ltd.,PO00091,28-04-2015,LBL.0000004,Cup,Piece,12.00,3000.00,0.00,784271.00,12.00
Eastern Software Systems Pvt. Ltd.,PO00091,28-04-2015,OTH.0000001,SEAMAN ROYALE GLASS CUP,Piece,10.00,100.00,0.00,784271.00,10.00
Navigant Consulting,PO00093,29-04-2015,FG.0000003,Leather Jackets,Piece,10.00,2000.00,0.00,2000.00,10.00
Navigant Consulting,IPO00024,30-04-2015,TLS.0000002,Microsoft Office,Piece,40565.00,1541470.00,0.00,3161077.27,40565.00
Navigant Consulting,IPO00025,01-05-2015,FG.0000003,Leather Jackets,Piece,40565.00,1541470.00,0.00,4993211.74,40565.00
Navigant Consulting,IPO00026,01-05-2015,AM.0000001,Harley Davidson,pair,40565.00,1541470.00,0.00,4993211.74,40565.00
Navigant Consulting,IPO00027,01-05-2015,FG.0000003,Leather Jackets,Piece,1.00,200.00,0.00,200.00,1.00
Navigant Consulting,PO00098,01-05-2015,AM.0000001,Harley Davidson,pair,50.00,23000.00,0.00,37000.00,50.00
Navigant Consulting,PO00098,01-05-2015,EG.0000002,Paper Roll,pair,40.00,14000.00,0.00,37000.00,40.00
Navigant Consulting,PO00101,02-05-2015,SSC.0000002,Adapter,pair,10.00,100.00,0.00,100.00,5.00
Navigant Consulting,PO00102,02-05-2015,SSC.0000002,Adapter,pair,10.00,100.00,0.00,100.00,10.00
Navigant Consulting,PO00107,03-05-2015,SSC.0000002,Adapter,pair,10.00,100.00,0.00,100.00,6.00
Navigant Consulting,PO00110,04-05-2015,AM.0000001,Harley Davidson,unit,20.00,24680.00,0.00,72028.06,20.00
Navigant Consulting,PO00110,04-05-2015,AM.0000002,Levis Tshirt,pair,20.00,2460.00,0.00,72028.06,20.00
Navigant Consulting,PO00110,04-05-2015,SSC.0001,Nokia Lumia 620,Pcs,20.00,24700.00,0.00,72028.06,20.00
Navigant Consulting,PO00111,04-05-2015,ITM.0000019,Adapter One,Pcs,20.00,900.00,0.00,17911.24,20.00
Navigant Consulting,PO00111,04-05-2015,SSC.0000002,Adapter,pair,20.00,10000.00,0.00,17911.24,20.00
S.J.ENTERPRISES,PO00112,04-05-2015,AM.0000002,Levis Tshirt,pair,10.00,100.00,0.00,11348.36,8.00
S.J.ENTERPRISES,PO00112,04-05-2015,ITM.0000017,Tea Cup,Piece,10.00,10000.00,0.00,11348.36,8.00
Navigant Consulting,PO00113,04-05-2015,AM.0000002,Levis Tshirt,pair,10.00,100.00,0.00,116.00,10.00
S.J.ENTERPRISES,PO00114,04-05-2015,ITM.0000017,Tea Cup,Piece,10.00,10000.00,0.00,11721.00,8.00
bansal suppliers,PO00116,04-05-2015,ALC.0000001,Alcohol,l,10.00,1000.00,0.00,1000.00,10.00
Navigant Consulting,PO00117,04-05-2015,FG.0000003,Leather Jackets,Piece,5.00,100.00,10.00,159.67,5.00
Navigant Consulting,PO00117,04-05-2015,TLS.0000002,Microsoft Office,Piece,2.00,60.00,5.00,159.67,2.00
Navigant Consulting,PO00118,04-05-2015,FG.0000003,Leather Jackets,Piece,20.00,4000.00,20.00,4060.00,20.00
Navigant Consulting,PO00119,05-05-2015,FG.0000003,Leather Jackets,Piece,10.00,100.00,0.00,175.00,10.00
Navigant Consulting,PO00119,05-05-2015,TLS.0000002,Microsoft Office,Piece,15.00,75.00,0.00,175.00,15.00
Navigant Consulting,PO00120,05-05-2015,FG.0000003,Leather Jackets,Piece,10.00,200.00,0.00,300.00,5.00
Navigant Consulting,PO00120,05-05-2015,TLS.0000002,Microsoft Office,Piece,10.00,100.00,0.00,300.00,5.00
Navigant Consulting,IPO00028,06-05-2015,ITM.0000019,Adapter One,Pcs,405650.00,15414700.00,0.00,22695453.22,405650.00
Navigant Consulting,IPO00029,06-05-2015,ITM.0000015,Nokia X2-01,Pcs,40565.00,1541470.00,0.00,4957939.79,40565.00
Navigant Consulting,IPO00030,06-05-2015,ITM.0000013,Lenovo Adapter,Pcs,40565.00,1541470.00,0.00,4993211.74,40565.00
Navigant Consulting,PO00122,06-05-2015,AM.0000001,Harley Davidson,pair,50.00,23000.00,0.00,37000.00,50.00
Navigant Consulting,PO00122,06-05-2015,EG.0000002,Paper Roll,pair,40.00,14000.00,0.00,37000.00,40.00
007 BOND,IPO00031,07-05-2015,AM.0000001,Harley Davidson,pair,30.00,300.00,40.00,297.08,30.00
Navigant Consulting,PO00123,07-05-2015,SSC.0000002,Adapter,pair,10.00,100.00,0.00,112.36,10.00
Navigant Consulting,PO00124,08-05-2015,ITM.0000019,Adapter One,Pcs,5.00,800.00,0.00,1673.47,5.00
Navigant Consulting,PO00124,08-05-2015,SSC.0000002,Adapter,pair,5.00,750.00,0.00,1673.47,5.00
Navigant Consulting,PO00125,11-05-2015,TLS.0000002,Microsoft Office,Piece,10.00,100.00,10.00,80.00,10.00
Navigant Consulting,IPO00032,12-05-2015,ITM.0000019,Adapter One,Pcs,20.00,400.00,0.00,510.52,20.00
Navigant Consulting,PO00131,13-05-2015,ITM.0000019,Adapter One,Pcs,10.00,300.00,4.00,370.80,10.00
S.J.ENTERPRISES,PO00137,15-05-2015,AM.0000002,Levis Tshirt,pair,10.00,1000.00,0.00,1000.00,10.00
A Doctors Pest Control,PO00140,16-05-2015,Red.0002,Item_alok,t/m3,10.00,200.00,0.00,200.00,10.00
007 BOND,PO00138,16-05-2015,ALC.0000001,Alcohol,l,1.00,120.71,1.00,119.71,1.00
Navigant Consulting,PO00141,16-05-2015,AM.0000001,Harley Davidson,pair,10.00,500.00,0.00,5181.60,10.00
Navigant Consulting,PO00141,16-05-2015,TLS.0000002,Microsoft Office,Piece,230.00,4600.00,20.00,5181.60,230.00
Navigant Consulting,PO00142,16-05-2015,TLS.0000002,Microsoft Office,Piece,10.00,100.00,0.00,90.00,10.00
Navigant Consulting,PO00148,18-05-2015,TLS.0000002,Microsoft Office,Piece,10.00,200.00,20.00,150.00,10.00
Navigant Consulting,PO00147,18-05-2015,EG.0001,Aap ka jhadu,Piece,16.00,320.00,10.00,398.32,16.00
Navigant Consulting,PO00156,18-05-2015,AM.0000014,Mobile Cover,Pcs,10.00,200.00,0.00,738.00,2.00
Navigant Consulting,PO00156,18-05-2015,ITM.0000019,Adapter One,Pcs,10.00,300.00,0.00,738.00,2.00
Navigant Consulting,PO00159,18-05-2015,EG.0001,Aap ka jhadu,Piece,16.00,320.00,0.00,418.32,16.00
S.J.ENTERPRISES,PO00164,19-05-2015,AM.0000002,Levis Tshirt,pair,10.00,10000.00,0.00,22100.00,10.00
S.J.ENTERPRISES,PO00164,19-05-2015,EG.0000001,HP 6460,%,10.00,10000.00,0.00,22100.00,10.00
S.J.ENTERPRISES,PO00164,19-05-2015,ITM.0000013,Lenovo Adapter,Pcs,10.00,1000.00,0.00,22100.00,10.00
Navigant Consulting,PO00166,21-05-2015,LBL.0000004,Cup,Piece,50.00,5000.00,0.00,5000.00,50.00
Navigant Consulting,PO00167,22-05-2015,EG.0001,Aap ka jhadu,Piece,1.00,2.00,1.00,182.88,1.00
Navigant Consulting,PO00173,23-05-2015,EG.0032,SONY XPERIA M2,Piece,10.00,160000.00,0.00,395560.00,10.00
Navigant Consulting,PO00173,23-05-2015,EG.0033,SONY XPERIA M1,Piece,10.00,150000.00,0.00,395560.00,10.00
Navigant Consulting,PO00174,23-05-2015,EG.0032,SONY XPERIA M2,Piece,10.00,160000.00,40.80,395438.40,10.00
Navigant Consulting,PO00174,23-05-2015,EG.0033,SONY XPERIA M1,Piece,10.00,150000.00,80.80,395438.40,10.00
Navigant Consulting,PO00175,23-05-2015,EG.0032,SONY XPERIA M2,Piece,10.00,160000.00,40.80,395538.40,10.00
Navigant Consulting,PO00175,23-05-2015,EG.0033,SONY XPERIA M1,Piece,10.00,150000.00,80.80,395538.40,10.00
Navigant Consulting,PO00177,25-05-2015,EG.0032,SONY XPERIA M2,Piece,10.00,160000.00,0.00,396815.20,3.00
Navigant Consulting,PO00177,25-05-2015,EG.0033,SONY XPERIA M1,Piece,10.00,150000.00,0.00,396815.20,3.00
Navigant Consulting,PO00177,25-05-2015,FG.0024,Fastt Track Bottle,Piece,10.00,100.00,0.00,396815.20,3.00
Navigant Consulting,PO00177,25-05-2015,ITM.0000019,Adapter One,Pcs,10.00,100.00,0.00,396815.20,3.00
Navigant Consulting,IPO00034,26-05-2015,ITM.0000019,Adapter One,Pcs,2.00,240.00,0.00,240.00,2.00
Navigant Consulting,PO00178,26-05-2015,EG.0000005,Sony Laptop,Piece,10.00,100.00,0.00,100.00,10.00
