Receipt No,Receipt Date,  Order No,  Order Date,Warehouse,Item Description,Unit,Delivery Note Qty,Receipt Qty,Reworkable Qty,Rejected Qty,Rate,Value
RCPT0000001340,03/09/2015,FGR001505,03/09/2015,FINISHED GOODS - SEC,CU0.9DCMEDPT-90,KG,0.00,765.90,0.00,0.00,480.00,367634.40
RCPT0000001341,03/09/2015,FGR001507,03/09/2015,FINISHED GOODS - SEC,CU0.53DCFINEPT-25,KG,0.00,641.44,0.00,0.00,480.00,307888.80
RCPT0000001341,03/09/2015,FGR001507,03/09/2015,FINISHED GOODS - SEC,CU34SSMEDPT-10,KG,0.00,2276.92,0.00,0.00,490.00,1115690.80
RCPT0000001341,03/09/2015,FGR001507,03/09/2015,FINISHED GOODS - SEC,CU22MPMEDM-266,KG,0.00,103.70,0.00,0.00,470.00,48736.65
RCPT0000001341,03/09/2015,FGR001507,03/09/2015,FINISHED GOODS - SEC,CU28MPMEDPT-25,KG,0.00,742.16,0.00,0.00,470.00,348817.55
RCPT0000001342,03/09/2015,FGR001509,03/09/2015,FINISHED GOODS - SEC,CU27MPMEDPT-25,KG,0.00,35.12,0.00,0.00,470.00,16506.40
RCPT0000001342,03/09/2015,FGR001509,03/09/2015,FINISHED GOODS - SEC,CU19MPMEDM-266,KG,0.00,47.03,0.00,0.00,470.00,22104.10
RCPT0000001342,03/09/2015,FGR001509,03/09/2015,FINISHED GOODS - SEC,CU24MPMEDPT-25,KG,0.00,53.09,0.00,0.00,470.00,24952.30
RCPT0000001343,03/09/2015,,,FINISHED GOODS - SEC,CU41SSFINEPT-4,KG,425.34,425.34,0.00,0.00,490.00,208414.15
RCPT0000001344,04/09/2015,,,FINISHED GOODS - SEC,CU18MPMEDM-266,KG,148.52,148.52,0.00,0.00,480.00,71289.60
RCPT0000001345,04/09/2015,FGR001510,04/09/2015,FINISHED GOODS - SEC,CU0.23SSMEDPT-10,KG,0.00,513.61,0.00,0.00,490.00,251668.90
RCPT0000001345,04/09/2015,FGR001510,04/09/2015,FINISHED GOODS - SEC,CU0.14SSFINEPT-10,KG,0.00,283.66,0.00,0.00,500.00,141830.00
RCPT0000001345,04/09/2015,FGR001510,04/09/2015,FINISHED GOODS - SEC,CU0.1*4SSFINEPT-10,KG,0.00,186.02,0.00,0.00,500.00,93010.00
RCPT0000001345,04/09/2015,FGR001510,04/09/2015,FINISHED GOODS - SEC,CU0.27SSFINEPT-10,KG,0.00,675.88,0.00,0.00,490.00,331178.75
RCPT0000001346,04/09/2015,FGR001512,04/09/2015,FINISHED GOODS - SEC,CU32SSMEDPT-10,KG,0.00,1701.54,0.00,0.00,245.00,416876.08
RCPT0000001346,04/09/2015,FGR001512,04/09/2015,FINISHED GOODS - SEC,CU20.5DCMEDM-266,KG,0.00,497.12,0.00,0.00,480.00,238617.60
RCPT0000001346,04/09/2015,FGR001512,04/09/2015,FINISHED GOODS - SEC,CU35SSMEDPT-10,KG,0.00,506.92,0.00,0.00,490.00,248393.25
RCPT0000001346,04/09/2015,FGR001512,04/09/2015,FINISHED GOODS - SEC,CU22.5DCMEDM-266,KG,0.00,434.50,0.00,0.00,480.00,208557.60
RCPT0000001347,04/09/2015,FGR001513,04/09/2015,FINISHED GOODS - SEC,CU0.87DCFINEPT-,KG,0.00,3296.22,0.00,0.00,480.00,1582185.60
RCPT0000001347,04/09/2015,FGR001513,04/09/2015,FINISHED GOODS - SEC,CU0.95DCMEDPT-,KG,0.00,1926.96,0.00,0.00,480.00,924940.80
RCPT0000001347,04/09/2015,FGR001513,04/09/2015,FINISHED GOODS - SEC,CU0.7DCMEDPT-90,KG,0.00,676.57,0.00,0.00,480.00,324753.60
RCPT0000001347,04/09/2015,FGR001513,04/09/2015,FINISHED GOODS - SEC,CU0.4DCMEDPT-90,KG,0.00,739.81,0.00,0.00,480.00,355108.80
RCPT0000001348,04/09/2015,FGR001515,04/09/2015,FINISHED GOODS - SEC,CU1.05DCMEDPT-90,KG,0.00,561.74,0.00,0.00,480.00,269635.20
RCPT0000001348,04/09/2015,FGR001515,04/09/2015,FINISHED GOODS - SEC,CU0.9DCMEDPT-90,KG,0.00,934.96,0.00,0.00,480.00,448778.40
RCPT0000001348,04/09/2015,FGR001515,04/09/2015,FINISHED GOODS - SEC,CU0.7MPMEDPT-90,KG,0.00,688.96,0.00,0.00,470.00,323813.55
RCPT0000001349,04/09/2015,FGR001516,04/09/2015,FINISHED GOODS - SEC,CU34SSMEDPT-10,KG,0.00,1479.14,0.00,0.00,490.00,724778.60
RCPT0000001350,05/09/2015,FGR001518,05/09/2015,FINISHED GOODS - SEC,"CU20.5MPMED PT-10""",KG,0.00,156.86,0.00,0.00,482.20,75640.30
RCPT0000001350,05/09/2015,FGR001518,05/09/2015,FINISHED GOODS - SEC,CU20.5DCMEDM-266,KG,0.00,21.94,0.00,0.00,480.00,10533.60
RCPT0000001350,05/09/2015,FGR001518,05/09/2015,FINISHED GOODS - SEC,"CU20MPMEDPT-10""",KG,0.00,327.25,0.00,0.00,481.20,157472.70
RCPT0000001350,05/09/2015,FGR001518,05/09/2015,FINISHED GOODS - SEC,CU19.5MPMEDPT-25,KG,0.00,169.25,0.00,0.00,470.00,79547.50
RCPT0000001350,05/09/2015,FGR001518,05/09/2015,FINISHED GOODS - SEC,CU19MPMEDM-266,KG,0.00,113.94,0.00,0.00,470.00,53549.45
RCPT0000001350,05/09/2015,FGR001518,05/09/2015,FINISHED GOODS - SEC,CU18MPMEDM-266,KG,0.00,21.75,0.00,0.00,470.00,10222.50
RCPT0000001350,05/09/2015,FGR001518,05/09/2015,FINISHED GOODS - SEC,CU17.5MPMEDM-266,KG,0.00,9.32,0.00,0.00,200.00,1864.00
RCPT0000001350,05/09/2015,FGR001518,05/09/2015,FINISHED GOODS - SEC,CU0.53DCFINEPT-25,KG,0.00,1288.26,0.00,0.00,480.00,618362.40
RCPT0000001350,05/09/2015,FGR001518,05/09/2015,FINISHED GOODS - SEC,CU0.363HSSFINEPT-,KG,0.00,1154.80,0.00,0.00,500.00,577400.00
RCPT0000001350,05/09/2015,FGR001518,05/09/2015,FINISHED GOODS - SEC,CU28MPMEDPT-25,KG,0.00,568.14,0.00,0.00,470.00,267023.45
RCPT0000001350,05/09/2015,FGR001518,05/09/2015,FINISHED GOODS - SEC,CU0.85DCMEDPT-90,KG,0.00,713.60,0.00,0.00,480.00,342528.00
RCPT0000001350,05/09/2015,FGR001518,05/09/2015,FINISHED GOODS - SEC,CU0.87MPMEDPT-90,KG,0.00,876.47,0.00,0.00,470.00,411940.90
RCPT0000001350,05/09/2015,FGR001518,05/09/2015,FINISHED GOODS - SEC,CU0.4DCMEDPT-90,KG,0.00,159.01,0.00,0.00,480.00,76324.80
RCPT0000001350,05/09/2015,FGR001518,05/09/2015,FINISHED GOODS - SEC,CU0.7DCMEDPT-90,KG,0.00,432.62,0.00,0.00,480.00,207655.20
RCPT0000001350,05/09/2015,FGR001518,05/09/2015,FINISHED GOODS - SEC,CU0.95DCMEDPT-90,KG,0.00,75.47,0.00,0.00,480.00,36225.60
RCPT0000001351,05/09/2015,FGR001519,05/09/2015,FINISHED GOODS - SEC,CU33SSMEDPT-10,KG,0.00,33.42,0.00,0.00,490.00,16378.25
RCPT0000001351,05/09/2015,FGR001519,05/09/2015,FINISHED GOODS - SEC,CU35SSMEDPT-10,KG,0.00,922.62,0.00,0.00,490.00,452081.35
RCPT0000001351,05/09/2015,FGR001519,05/09/2015,FINISHED GOODS - SEC,CU23MPMEDPT-25,KG,0.00,192.32,0.00,0.00,470.00,90390.40
RCPT0000001351,05/09/2015,FGR001519,05/09/2015,FINISHED GOODS - SEC,CU27MPMEDPT-25,KG,0.00,546.86,0.00,0.00,470.00,257021.85
RCPT0000001351,05/09/2015,FGR001519,05/09/2015,FINISHED GOODS - SEC,CU23.5MPMEDPT-25,KG,0.00,5.26,0.00,0.00,470.00,2474.55
RCPT0000001351,05/09/2015,FGR001519,05/09/2015,FINISHED GOODS - SEC,CU22.5MPMEDM-266,KG,0.00,25.03,0.00,0.00,470.00,11764.10
RCPT0000001351,05/09/2015,FGR001519,05/09/2015,FINISHED GOODS - SEC,CU22MPMEDM-266,KG,0.00,18.45,0.00,0.00,470.00,8671.50
RCPT0000001351,05/09/2015,FGR001519,05/09/2015,FINISHED GOODS - SEC,CU21MPMEDPT-25,KG,0.00,360.86,0.00,0.00,200.00,72173.00
RCPT0000001351,05/09/2015,FGR001519,05/09/2015,FINISHED GOODS - SEC,CU21.5MPMEDPT-25,KG,0.00,51.14,0.00,0.00,470.00,24038.15
RCPT0000001351,05/09/2015,FGR001519,05/09/2015,FINISHED GOODS - SEC,CU37MPFINEPT-10,KG,0.00,69.02,0.00,0.00,470.00,32441.75
RCPT0000001351,05/09/2015,FGR001519,05/09/2015,FINISHED GOODS - SEC,CU38MPFINEPT-10,KG,0.00,98.10,0.00,0.00,470.00,46104.65
RCPT0000001351,05/09/2015,FGR001519,05/09/2015,FINISHED GOODS - SEC,CU32SSMEDPT-10,KG,0.00,522.67,0.00,0.00,245.00,128054.15
RCPT0000001351,05/09/2015,FGR001519,05/09/2015,FINISHED GOODS - SEC,CU0.18SSFINEPT-10,KG,0.00,193.02,0.00,0.00,490.00,94577.35
RCPT0000001351,05/09/2015,FGR001519,05/09/2015,FINISHED GOODS - SEC,CU0.24SSFINEPT-10,KG,0.00,394.86,0.00,0.00,490.00,193478.95
RCPT0000001352,05/09/2015,FGR001520,05/09/2015,FINISHED GOODS - SEC,CU22MPMEDM-266,KG,0.00,290.44,0.00,0.00,470.00,136504.45
RCPT0000001353,06/09/2015,FGR001523,06/09/2015,FINISHED GOODS - SEC,CU0.22SSMEDPT-10,KG,0.00,330.90,0.00,0.00,490.00,162138.55
RCPT0000001353,06/09/2015,FGR001523,06/09/2015,FINISHED GOODS - SEC,CU31SSMEDPT-10,KG,0.00,309.88,0.00,0.00,490.00,151843.65
RCPT0000001353,06/09/2015,FGR001523,06/09/2015,FINISHED GOODS - SEC,CU0.53DCFINEPT-25,KG,0.00,651.88,0.00,0.00,480.00,312902.40
RCPT0000001353,06/09/2015,FGR001523,06/09/2015,FINISHED GOODS - SEC,CU34SSMEDPT-10,KG,0.00,1074.98,0.00,0.00,490.00,526740.20
RCPT0000001354,06/09/2015,FGR001525,06/09/2015,FINISHED GOODS - SEC,CU1DCFINEPT90,KG,0.00,986.00,0.00,0.00,480.00,473280.00
RCPT0000001354,06/09/2015,FGR001525,06/09/2015,FINISHED GOODS - SEC,CU0.7MPMEDPT-90,KG,0.00,1319.00,0.00,0.00,470.00,619930.00
RCPT0000001354,06/09/2015,FGR001525,06/09/2015,FINISHED GOODS - SEC,CU0.83DCFINEPT-90,KG,0.00,589.00,0.00,0.00,480.00,282720.00
RCPT0000001354,06/09/2015,FGR001525,06/09/2015,FINISHED GOODS - SEC,CU0.87MPMEDPT-90,KG,0.00,658.73,0.00,0.00,470.00,309603.10
RCPT0000001354,06/09/2015,FGR001525,06/09/2015,FINISHED GOODS - SEC,CU0.55DCFINEPT-90,KG,0.00,722.03,0.00,0.00,480.00,346574.40
RCPT0000001354,06/09/2015,FGR001525,06/09/2015,FINISHED GOODS - SEC,CU0.85DCMEDPT-90,KG,0.00,1035.00,0.00,0.00,480.00,496800.00
RCPT0000001354,06/09/2015,FGR001525,06/09/2015,FINISHED GOODS - SEC,CU0.6DCFINEPT-90,KG,0.00,647.85,0.00,0.00,480.00,310968.00
RCPT0000001355,06/09/2015,FGR001526,06/09/2015,FINISHED GOODS - SEC,CU0.335SSHFINEPT-,KG,0.00,24.08,0.00,0.00,500.00,12040.00
RCPT0000001355,06/09/2015,FGR001526,06/09/2015,FINISHED GOODS - SEC,CU0.345SSHFINEPT-,KG,0.00,24.34,0.00,0.00,495.00,12045.82
RCPT0000001355,06/09/2015,FGR001526,06/09/2015,FINISHED GOODS - SEC,CU0.213SSHFINEPT-,KG,0.00,204.72,0.00,0.00,495.00,101338.88
RCPT0000001355,06/09/2015,FGR001526,06/09/2015,FINISHED GOODS - SEC,CU0.234SSHFINEPT-,KG,0.00,104.38,0.00,0.00,495.00,51668.10
RCPT0000001355,06/09/2015,FGR001526,06/09/2015,FINISHED GOODS - SEC,CU0.193SSHFINEPT-,KG,0.00,56.50,0.00,0.00,495.00,27965.02
RCPT0000001355,06/09/2015,FGR001526,06/09/2015,FINISHED GOODS - SEC,CU0.295SSHFINEPT-,KG,0.00,112.10,0.00,0.00,495.00,55487.02
RCPT0000001355,06/09/2015,FGR001526,06/09/2015,FINISHED GOODS - SEC,CU0.355SSHFINEPT-,KG,0.00,48.47,0.00,0.00,495.00,23992.65
RCPT0000001355,06/09/2015,FGR001526,06/09/2015,FINISHED GOODS - SEC,CU0.417SSHFINEPT-,KG,0.00,352.30,0.00,0.00,495.00,174390.98
RCPT0000001355,06/09/2015,FGR001526,06/09/2015,FINISHED GOODS - SEC,CU0.14SSHFINEPT-,KG,0.00,320.98,0.00,0.00,495.00,158885.10
RCPT0000001355,06/09/2015,FGR001526,06/09/2015,FINISHED GOODS - SEC,CU0.254SSHFINEPT-,KG,0.00,949.50,0.00,0.00,495.00,470004.98
RCPT0000001355,06/09/2015,FGR001526,06/09/2015,FINISHED GOODS - SEC,CU33MPMEDPT-10,KG,0.00,114.63,0.00,0.00,470.00,53876.10
RCPT0000001355,06/09/2015,FGR001526,06/09/2015,FINISHED GOODS - SEC,CU37SSMEDPT-10,KG,0.00,187.18,0.00,0.00,490.00,91715.75
RCPT0000001355,06/09/2015,FGR001526,06/09/2015,FINISHED GOODS - SEC,CU36SSMEDPT-10,KG,0.00,334.34,0.00,0.00,490.00,163824.15
RCPT0000001355,06/09/2015,FGR001526,06/09/2015,FINISHED GOODS - SEC,CU0.23SSMEDPT-10,KG,0.00,412.81,0.00,0.00,490.00,202276.90
RCPT0000001356,07/09/2015,FGR001527,07/09/2015,FINISHED GOODS - SEC,CU0.8DCMEDPT-45,KG,0.00,274.60,0.00,0.00,480.00,131808.00
