Invoice No,Invoice Date,Supplier Name,Receipt No.,Bill No.,Bill Date,D.N. No.,D.N. Date,Currency,Item Description,Unit,Quantity,Gross Amount,Discount,,Central Sales Tax Payable - 2.00%,Cst Purchase @1%,Cst Purchase @2%,Excise On Purchase 12.50%,Input Vat - 12.50% Up,Input Vat - 4.00% Up,Input Vat Additional - 1.50% ,Input Vat Additional. - 1% Up,Narration,Net Amount
,,,,,,,,,PLAS SPOOL PT-04,PCS,1000.00,19000.00,0.00,0.00,0.00,0.00,428.00,2375.00,0.00,0.00,0.00,0.00,0.00,21803.00
,,,,,,,,,PLAS SPOOL PT-04 ABS NP,PCS,500.00,18000.00,0.00,0.00,0.00,0.00,405.00,2250.00,0.00,0.00,0.00,0.00,0.00,20655.00
,,,,,,,,,PLAS SPOOL PT-10,PCS,2250.00,79875.00,0.00,0.00,0.00,0.00,1797.00,9984.00,0.00,0.00,0.00,0.00,0.00,91656.00
PB0000036,14-04-2015,Hindalco,RCPT0000000016,DGH/15000040,09-04-2015,,,INR,COPPER WIRE / ROD,KG,3094.00,1298325.94,1547.30,0.00,0.00,0.00,0.00,162291.00,0.00,58425.00,0.00,14606.00,0.00,1532100.63
PB0000037,14-04-2015,SSK CHEMICALS PVT. LTD.,RCPT0000000021,013,10-04-2015,,11-04-2015,INR,VAR-HIGH SPEED,KGS,3150.00,283500.00,0.00,0.00,0.00,0.00,6379.00,35438.00,0.00,0.00,0.00,0.00,0.00,325317.00
PB0000038,14-04-2015,Hindalco,RCPT0000000017,DGH/15000041,14-04-2015,,,INR,COPPER WIRE / ROD,KG,3076.00,1290772.65,1538.30,0.00,0.00,0.00,0.00,161347.00,0.00,58085.00,0.00,14521.00,0.00,1523187.35
PB0000039,14-04-2015,Hindalco,RCPT0000000018,DGH/15000059,13-04-2015,,13-04-2015,INR,COPPER WIRE / ROD,KG,6038.00,2517846.00,0.00,0.00,0.00,0.00,0.00,314731.00,0.00,113303.00,0.00,28326.00,0.00,2974206.00
PB0000040,14-04-2015,Hindalco,RCPT0000000019,DGH/15000060,13-04-2015,,13-04-2015,INR,COPPER WIRE / ROD,KG,3038.00,1266846.00,0.00,0.00,0.00,0.00,0.00,158356.00,0.00,57008.00,0.00,14252.00,0.00,1496462.00
PB0000041,14-04-2015,Hindalco,RCPT0000000020,DGH/15000061,13-04-2015,,13-04-2015,INR,COPPER WIRE / ROD,KG,2978.00,1241826.00,0.00,0.00,0.00,0.00,0.00,155228.00,0.00,55882.00,0.00,13971.00,0.00,1466907.00
PB0000042,15-04-2015,Bharat Box Company,RCPT0000000060,013,13-04-2015,,13-04-2015,INR,CORRUGATED BOX-PT-10 INTERLOCK,PCS,1503.00,19539.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,782.00,0.00,195.00,0.00,20516.00
PB0000043,15-04-2015,Hindalco,RCPT0000000021,DGH/15000074,14-04-2015,,14-04-2015,INR,COPPER WIRE / ROD,KG,2971.00,1238907.00,0.00,0.00,0.00,0.00,0.00,154863.00,0.00,55751.00,0.00,13938.00,0.00,1463459.00
PB0000044,15-04-2015,Hindalco,RCPT0000000022,DGH/15000073,14-04-2015,,14-04-2015,INR,COPPER WIRE / ROD,KG,2973.00,1239741.00,0.00,0.00,0.00,0.00,0.00,154968.00,0.00,55788.00,0.00,13947.00,0.00,1464444.00
PB0000045,15-04-2015,Hindalco,RCPT0000000023,DGH/15000075,14-04-2015,,14-04-2015,INR,COPPER WIRE / ROD,KG,2974.00,1240158.00,0.00,0.00,0.00,0.00,0.00,155020.00,0.00,55807.00,0.00,13952.00,0.00,1464937.00
PB0000046,15-04-2015,Hindalco,RCPT0000000024,DGH/15000076,14-04-2015,,14-04-2015,INR,COPPER WIRE / ROD,KG,2970.00,1238490.00,0.00,0.00,0.00,0.00,0.00,154811.00,0.00,55732.00,0.00,13933.00,0.00,1462966.00
PB0000047,16-04-2015,Hindalco,RCPT0000000009,DCR/15000177,14-04-2015,,15-04-2015,INR,COPPER WIRE / ROD (CENTRAL),KG,9034.00,3767178.00,0.00,0.00,0.00,42381.00,0.00,470897.00,0.00,0.00,0.00,0.00,0.00,4280456.00
PB0000048,16-04-2015,Hindalco,RCPT0000000025,DGH/15000077,15-04-2015,,16-04-2015,INR,COPPER WIRE / ROD,KG,2973.00,1239741.00,0.00,0.00,0.00,0.00,0.00,154968.00,0.00,55788.00,0.00,13947.00,0.00,1464444.00
PB0000049,16-04-2015,Hindalco,RCPT0000000026,DGH/15000078,15-04-2015,,15-04-2015,INR,COPPER WIRE / ROD,KG,2966.00,1236822.00,0.00,0.00,0.00,0.00,0.00,154603.00,0.00,55657.00,0.00,13914.00,0.00,1460996.00
PB0000050,16-04-2015,Hindalco,RCPT0000000027,DGH/15000081,15-04-2015,,15-04-2015,INR,COPPER WIRE / ROD,KG,2984.00,1244328.00,0.00,0.00,0.00,0.00,0.00,155541.00,0.00,55995.00,0.00,13999.00,0.00,1469863.00
PB0000051,16-04-2015,Hindalco,RCPT0000000028,DGH/15000087,15-04-2015,,15-04-2015,INR,COPPER WIRE / ROD,KG,2487.00,1037079.00,0.00,0.00,0.00,0.00,0.00,129635.00,0.00,46669.00,0.00,11667.00,0.00,1225050.00
PB0000052,16-04-2015,Hindalco,RCPT0000000029,DGH/15000086,15-04-2015,,15-04-2015,INR,COPPER WIRE / ROD,KG,2125.00,886125.00,0.00,0.00,0.00,0.00,0.00,110766.00,0.00,39876.00,0.00,9969.00,0.00,1046736.00
PB0000053,18-04-2015,Hindalco,RCPT0000000010,DCR/15000231,16-04-2015,,17-04-2015,INR,COPPER WIRE / ROD (CENTRAL),KG,2958.00,1233486.00,0.00,0.00,0.00,13877.00,0.00,154186.00,0.00,0.00,0.00,0.00,0.00,1401549.00
PB0000054,18-04-2015,Hindalco,RCPT0000000011,DCR/15000229,16-04-2015,,17-04-2015,INR,COPPER WIRE / ROD (CENTRAL),KG,8924.00,3721308.00,0.00,0.00,0.00,41865.00,0.00,465164.00,0.00,0.00,0.00,0.00,0.00,4228337.00
PB0000055,18-04-2015,Bharat Box Company,RCPT0000000061,021,17-04-2015,,17-04-2015,INR,"CORRUGATED BOX - PT-25- 9.25X 9.25X 11.25"" 3PLY",PCS,2840.00,31240.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1250.00,0.00,312.00,0.00,32802.00
PB0000057,18-04-2015,Bharat Box Company,RCPT0000000062,018,16-04-2015,,16-04-2015,INR,"CORRUGATED BOX-PT10-14.75""X7.5""X9.5""",PCS,1140.00,28500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1140.00,0.00,285.00,0.00,29925.00
PB0000058,20-04-2015,S.S.Packaging,RCPT0000000063,57,18-04-2015,57,18-04-2015,INR,STRECH FILM,KG,156.10,22634.50,0.00,0.00,0.00,0.00,0.00,2829.00,0.00,1019.00,0.00,255.00,0.00,26737.50
PB0000059,20-04-2015,Hindalco,RCPT0000000030,DGH/15000110,18-04-2015,DGH/15000110,18-04-2015,INR,COPPER WIRE / ROD,KG,2750.00,1146750.00,0.00,0.00,0.00,0.00,0.00,143344.00,0.00,51604.00,0.00,12901.00,0.00,1354599.00
PB0000060,20-04-2015,Hindalco,RCPT0000000031,DGH/15000111,18-04-2015,DGH/15000111,18-04-2015,INR,COPPER WIRE / ROD,KG,2999.00,1250583.00,0.00,0.00,0.00,0.00,0.00,156323.00,0.00,56276.00,0.00,14069.00,0.00,1477251.00
PB0000061,21-04-2015,Hindalco,RCPT0000000032,DGH/15000115,20-04-2015,DGH/15000115,20-04-2015,INR,COPPER WIRE / ROD,KG,6021.00,2510757.00,0.00,0.00,0.00,0.00,0.00,313845.00,0.00,112984.00,0.00,28246.00,0.00,2965832.00
PB0000062,21-04-2015,Hindalco,RCPT0000000033,DGH/15000116,20-04-2015,DGH/15000116,20-04-2015,INR,COPPER WIRE / ROD,KG,5983.00,2494911.00,0.00,0.00,0.00,0.00,0.00,311864.00,0.00,112271.00,0.00,28068.00,0.00,2947114.00
PB0000063,21-04-2015,Hindalco,RCPT0000000013,DCR/15000277,20-04-2015,DCR/15000277,21-04-2015,INR,COPPER WIRE / ROD (CENTRAL),KG,3100.00,1292700.00,0.00,0.00,0.00,14543.00,0.00,161588.00,0.00,0.00,0.00,0.00,0.00,1468831.00
PB0000064,21-04-2015,Hindalco,RCPT0000000014,DCR/15000276,20-04-2015,DCR/15000276,21-04-2015,INR,COPPER WIRE / ROD (CENTRAL),KG,9010.00,3757170.00,0.00,0.00,0.00,42268.00,0.00,469646.00,0.00,0.00,0.00,0.00,0.00,4269084.00
PB0000065,22-04-2015,Bharat Petroleum Corporation Ltd.,RCPT0000000011,1102149137,13-04-2015,1102149137,14-04-2015,INR,HIGH SPEED DIESAL ( HSD ),L,12000.00,560571.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,560571.60
PB0000066,22-04-2015,Vikas Spool PVt. Ltd,RCPT0000000064,112,14-04-2015,112,14-04-2015,INR,PLAS SPOOL PT- 45,PCS,180.00,37800.00,0.00,0.00,0.00,0.00,851.00,4725.00,0.00,0.00,0.00,0.00,0.00,43376.00
,,,,,,,,,PLAS SPOOL PT- 90,PCS,200.00,150000.00,0.00,0.00,0.00,0.00,3375.00,18750.00,0.00,0.00,0.00,0.00,0.00,172125.00
,,,,,,,,,PLAS SPOOL PT-10,PCS,300.00,5250.00,0.00,0.00,0.00,0.00,118.00,656.00,0.00,0.00,0.00,0.00,0.00,6024.00
,,,RCPT0000000065,112,14-04-2015,112,14-04-2015,INR,PLAS SPOOL PT-10,PCS,2700.00,47250.00,0.00,0.00,0.00,0.00,1063.00,5906.00,0.00,0.00,0.00,0.00,0.00,54219.00
PB0000067,22-04-2015,MITSUBA SICAL INDIA LTD.,RCPT0000000066,101461,17-04-2015,101461,18-04-2015,INR,PLAS SPOOL PT-180 / PT-200,PCS,100.00,14547.00,0.00,0.00,0.00,0.00,291.00,0.00,0.00,0.00,0.00,0.00,0.00,14838.00
PB0000068,22-04-2015,MITSUBA SICAL INDIA LTD.,RCPT0000000067,101462,17-04-2015,101462,18-04-2015,INR,PLAS SPOOL PT-25,PCS,696.00,20880.00,0.00,213.00,0.00,0.00,418.00,0.00,0.00,0.00,0.00,0.00,0.00,21511.00
PB0000069,22-04-2015,Walson Woodburn Wire Die Pvt Ltd.,,,,,,INR,DIES WIRE DRAWING PCD,PCS,1.00,585.00,0.00,0.00,0.00,0.00,13.00,73.00,0.00,0.00,0.00,0.00,0.00,671.00
PB0000070,24-04-2015,Vikas Spool PVt. Ltd,RCPT0000000069,153,18-04-2015,153,19-04-2015,INR,PLAS SPOOL PT- 45,PCS,204.00,42840.00,0.00,0.00,0.00,0.00,964.00,5355.00,0.00,0.00,0.00,0.00,0.00,49159.00
,,,,,,,,,PLAS SPOOL PT- 90,PCS,100.00,75000.00,0.00,0.00,0.00,0.00,1688.00,9375.00,0.00,0.00,0.00,0.00,0.00,86063.00
,,,,,,,,,PLAS SPOOL PT-10,PCS,2500.00,88750.00,0.00,0.00,0.00,0.00,1997.00,11094.00,0.00,0.00,0.00,0.00,0.00,101841.00
PB0000071,24-04-2015,Hindalco,RCPT0000000034,DGH/15000106,18-04-2015,DGH/15000106,18-04-2015,INR,COPPER WIRE / ROD,KG,5988.00,2484840.36,2994.25,0.00,0.00,0.00,0.00,312125.00,0.00,112365.00,0.00,28091.00,0.00,2934427.11
PB0000072,24-04-2015,Hindalco,RCPT0000000036,DGH/15000107,18-04-2015,DGH/15000107,18-04-2015,INR,COPPER WIRE / ROD,KG,5979.00,2481105.63,2989.75,0.00,0.00,0.00,0.00,311655.00,0.00,112196.00,0.00,28049.00,0.00,2930015.88
PB0000073,24-04-2015,Hindalco,RCPT0000000037,DGH/15000109,18-04-2015,DGH/15000109,18-04-2015,INR,COPPER WIRE / ROD,KG,5990.00,2485670.30,2995.25,0.00,0.00,0.00,0.00,312229.00,0.00,112402.00,0.00,28101.00,0.00,2935407.05
PB0000074,24-04-2015,Hindalco,RCPT0000000038,DGH/15000114,18-04-2015,DGH/15000114,18-04-2015,INR,COPPER WIRE / ROD,KG,5987.00,2484425.39,2993.75,0.00,0.00,0.00,0.00,312072.00,0.00,112346.00,0.00,28087.00,0.00,2933936.64
PB0000075,24-04-2015,Hindalco,RCPT0000000035,DGH/15000121,21-04-2015,DGH/15000121,21-04-2015,INR,COPPER WIRE / ROD,KG,3007.00,1253919.00,0.00,0.00,0.00,0.00,0.00,156740.00,0.00,56426.00,0.00,14107.00,0.00,1481192.00
PB0000076,24-04-2015,Hindalco,RCPT0000000039,DGH/15000122,21-04-2015,DGH/15000122,21-04-2015,INR,COPPER WIRE / ROD,KG,2999.00,1250583.00,0.00,0.00,0.00,0.00,0.00,156323.00,0.00,56276.00,0.00,14069.00,0.00,1477251.00
PB0000077,24-04-2015,Hindalco,RCPT0000000015,DCR/15000293,21-04-2015,DCR/15000293,22-04-2015,INR,COPPER WIRE / ROD (CENTRAL),KG,9017.00,3760089.00,0.00,0.00,0.00,42301.00,0.00,470011.00,0.00,0.00,0.00,0.00,0.00,4272401.00
PB0000078,24-04-2015,S.M.Technosales (P) Ltd.,RCPT0000000012,0120,22-04-2015,0120,22-04-2015,INR,MICROCLEAN CARTRIDGE FILTER 10,PCS,50.00,28000.00,0.00,0.00,0.00,0.00,560.00,0.00,0.00,0.00,0.00,0.00,0.00,28560.00
PB0000079,24-04-2015,Hindalco,RCPT0000000016,DCR/15000326,22-04-2015,DCR/15000326,23-04-2015,INR,COPPER WIRE / ROD (CENTRAL),KG,3007.00,1253919.00,0.00,0.00,0.00,14107.00,0.00,156740.00,0.00,0.00,0.00,0.00,0.00,1424766.00
PB0000080,24-04-2015,Hindalco,RCPT0000000017,DCR/15000327,22-04-2015,DCR/15000327,23-04-2015,INR,COPPER WIRE / ROD (CENTRAL),KG,2612.00,1089204.00,0.00,0.00,0.00,12254.00,0.00,136151.00,0.00,0.00,0.00,0.00,0.00,1237609.00
PB0000081,24-04-2015,Hindalco,RCPT0000000018,DCR/15000328,22-04-2015,DCR/15000328,23-04-2015,INR,COPPER WIRE / ROD (CENTRAL),KG,2622.00,1093374.00,0.00,0.00,0.00,12300.00,0.00,136672.00,0.00,0.00,0.00,0.00,0.00,1242346.00
PB0000082,24-04-2015,SSK CHEMICALS PVT. LTD.,RCPT0000000022,032,22-04-2015,032,22-04-2015,INR,VAR-HIGH SPEED,KGS,4200.00,378000.00,0.00,0.00,0.00,0.00,8505.00,47250.00,0.00,0.00,0.00,0.00,0.00,433755.00
PB0000083,24-04-2015,Hindalco,RCPT0000000040,DGH/15000142,23-04-2015,DGH/15000142,23-04-2015,INR,COPPER WIRE / ROD,KG,6040.00,2518680.00,0.00,0.00,0.00,0.00,0.00,314835.00,0.00,113341.00,0.00,28335.00,0.00,2975191.00
PB0000084,24-04-2015,Micro Inks Limited,RCPT0000000023,1993,16-04-2015,1993,23-04-2015,INR,MILESTER M/M,KG,1050.00,109200.00,0.00,0.00,0.00,0.00,2457.00,13650.00,0.00,0.00,0.00,0.00,0.00,125307.00
PB0000085,24-04-2015,Bharat Box Company,RCPT0000000070,031,23-04-2015,031,23-04-2015,INR,"CORRUGATED BOX- PT-12"" 10.75X10.75X8",PCS,706.00,11825.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,473.00,0.00,118.00,0.00,12416.50
PB0000086,24-04-2015,Hindalco,RCPT0000000041,DGH/15000143,23-04-2015,DGH/15000143,23-04-2015,INR,COPPER WIRE / ROD,KG,5977.00,2492409.00,0.00,0.00,0.00,0.00,0.00,311551.00,0.00,112158.00,0.00,28040.00,0.00,2944158.00
PB0000087,24-04-2015,Hindalco,RCPT0000000042,DGH/15000146,23-04-2015,DGH/15000146,23-04-2015,INR,COPPER WIRE / ROD,KG,3006.00,1253502.00,0.00,0.00,0.00,0.00,0.00,156688.00,0.00,56408.00,0.00,14102.00,0.00,1480700.00
PB0000088,27-04-2015,Bharat Box Company,RCPT0000000071,033,25-04-2015,033,25-04-2015,INR,"CORRUGATED BOX PT- 45, 10.50X10.50X16.50- 3 PLY",PCS,684.00,9918.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,397.00,0.00,99.00,0.00,10414.00
PB0000089,27-04-2015,Bharat Box Company,RCPT0000000072,035,25-04-2015,035,25-04-2015,INR,"CORRUGATED BOX-PT10-14.75""X7.5""X9.5""",PCS,1215.00,30375.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1215.00,0.00,304.00,0.00,31894.00
PB0000090,27-04-2015,Vikas Spool PVt. Ltd,RCPT0000000073,208,25-04-2015,208,25-04-2015,INR,PLAS SPOOL PT- 45,PCS,180.00,37800.00,0.00,0.00,0.00,0.00,851.00,4725.00,0.00,0.00,0.00,0.00,0.00,43376.00
