  Warehouse ,Group,Item Code,Description,Unit,Total Qty.,Total Value,Reserved Qty.,Reserved Value,Rejected Qty.,Rejected Value,Reworkable Qty.,Reworkable Value,Scrap Qty.,Scrap Value
FINISHED GOODS - SEC,CU (FG),CU0.16SSHFINEPT-10,CU0.16SSHFINEPT-10,KG,9.02,4464.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.173SSHFINEPT-10,CU0.173SSHFINEPT-10,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.17SSMEDPT-10,CU0.17SSMEDPT-10,KG,4.46,2182.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.18SSMEDPT-10,CU0.18SSMEDPT-10,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.193SSFINEPT-10,CU0.193SSFINEPT-10,KG,202.21,101105.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.193SSHFINEPT-10,CU0.193SSHFINEPT-10,KG,3.48,1722.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.213SSHFINEPT-10,CU0.213SSHFINEPT-10,KG,2.36,1163.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.224SSHFINEPT-10,CU0.224SSHFINEPT-10,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.22SSFINEPT-10,CU0.22SSFINEPT-10,KG,652.88,320115.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.234SSHFINEPT-10,CU0.234SSHFINEPT-10,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.254SSHFINEPT-10,CU0.254SSHFINEPT-10,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.25SSFINEPT-10,CU0.25SSFINEPT-10,KG,10.88,5328.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.295SSHFINEPT-10,CU0.295SSHFINEPT-10,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.2SSFINEPT-10,CU0.2SSFINEPT-10,KG,229.57,112489.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.2SSMEDPT-10,CU0.2SSMEDPT-10,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.315SSHFINEPT-10,CU0.315SSHFINEPT-10,KG,7.58,3749.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.35DCMEDPT-25,CU0.35DCMEDPT-25,KG,205.72,98743.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.35SSHMEDPT-10,CU0.35SSHMEDPT-10,KG,18.42,9117.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.3FCMEDPT-25,CU0.3FCMEDPT-25,KG,1153.81,545175.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.3MPMEDPT-25,CU0.3MPMEDPT-25,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.417SSHFINEPT-10,CU0.417SSHFINEPT-10,KG,16.92,8377.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.425DCMEDPT-25,CU0.425DCMEDPT-25,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.45DCMEDPT-90,CU0.45DCMEDPT-90,KG,83.34,40005.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.47SBMEDPT-25,CU0.47SBMEDPT-25,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.4DCMEDPT-90,CU0.4DCMEDPT-90,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.53DCFINEPT-25,CU0.53DCFINEPT-25,KG,29.46,14140.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.53DCMEDPT-25,CU0.53DCMEDPT-25,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.559DCMEDPT-25,CU0.559DCMEDPT-25,KG,502.69,241291.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.55DCFinePT-25,CU0.55DCFinePT-25,KG,589.82,283113.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.55DCMEDPT-90,CU0.55DCMEDPT-90,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.55SBMEDPT-25,CU0.55SBMEDPT-25,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.5DCMEDPT-45,CU0.5DCMEDPT-45,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.5DCMEDPT-90,CU0.5DCMEDPT-90,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.63DCFINEPT-25,CU0.63DCFINEPT-25,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.63DCMEDPT-25,CU0.63DCMEDPT-25,KG,68.78,33014.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.69MPFINEPT-90,CU0.69MPFINEPT-90,KG,82.00,16400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.6DCFINEPT-25,CU0.6DCFINEPT-25,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.6DCMEDPT-90,CU0.6DCMEDPT-90,KG,484.80,232701.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.6MPFINEPT-90,CU0.6MPFINEPT-90,KG,321.42,151411.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.71SSMEDPT-25,CU0.71SSMEDPT-25,KG,110.52,54290.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.75DCMEDM-266,CU0.75DCMEDM-266,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.75DCMEDPT-90,CU0.75DCMEDPT-90,KG,164.70,79058.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.75MPFINEPT-90,CU0.75MPFINEPT-90,KG,474.30,222921.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.78DCFINEPT-90,CU0.78DCFINEPT-90,KG,0.08,36.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.7DCFINEPT-90,CU0.7DCFINEPT-90,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.7DCMEDPT-45,CU0.7DCMEDPT-45,KG,276.48,132712.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.7DCMEDPT-90,CU0.7DCMEDPT-90,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.7SSFINEPT-25,CU0.7SSFINEPT-25,KG,16.36,7934.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.83DCFINEPT-90,CU0.83DCFINEPT-90,KG,2234.30,1073806.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.85MCMEDPT-90,CU0.85MCMEDPT-90,KG,172.54,84542.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.85MPFINEPT-90,CU0.85MPFINEPT-90,KG,373.32,175460.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.8DCFINEPT-90,CU0.8DCFINEPT-90,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.8DCMEDPT-45,CU0.8DCMEDPT-45,KG,441.27,211809.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.8MPMEDPT-90,CU0.8MPMEDPT-90,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.9DCFINEPT-90,CU0.9DCFINEPT-90,KG,236.16,113354.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.9DCMEDPT-45,CU0.9DCMEDPT-45,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.9MPFINEPT-90,CU0.9MPFINEPT-90,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU1.00 BARE WIRE(JW),CU1.00 BARE WIRE (JW),KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU1.05DCMEDPT-90,CU1.05DCMEDPT-90,KG,254.28,122052.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU1.05MCMEDPT-90,CU1.05MCMEDPT-90,KG,165.65,81168.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU1.06DCMEDM-266,CU1.06DCMEDM-266,KG,173.34,83200.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU1.15DCFINEPT-180,CU1.15DCFINEPT-180,KG,0.10,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU1.22MCFINEPT-90,CU1.22MCFINEPT-90,KG,81.40,39883.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU1.2DCMEDPT-45,CU1.2DCMEDPT-45,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU1.3MCFINEPT-180,CU1.3MCFINEPT-180,KG,346.64,169853.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU1.8DCFINEM-266,CU1.8DCFINEM-266,KG,22.08,10600.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU1.8MPMEDPT-90,CU1.8MPMEDPT-90,KG,187.54,90016.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU1.9MPMEDPT-180,CU1.9MPMEDPT-180,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU12MPMEDM-266,CU12MPMEDM-266,KG,22.10,10387.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU15HCMEDM-266,CU15HCMEDM-266,KG,162.80,77330.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU16HCMEDM-266,CU16HCMEDM-266,KG,577.79,127113.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU17HCMEDM-266,CU17HCMEDM-266,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU19DCMEDM-266,CU19DCMEDM-266,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU1DCFINEPT-25,CU1DCFINEPT-25,KG,129.16,61994.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU1DCMEDPT-45,CU1DCMEDPT-45,KG,37.50,17439.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU2.24DCMEDPT-90,CU2.24DCMEDPT-90,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU2.3DCMEDM-266,CU2.3DCMEDM-266,KG,238.70,119108.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU20FCMEDM-266,CU20FCMEDM-266,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU22.5DCMEDM-266,CU22.5DCMEDM-266,KG,146.22,70185.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU22DCMEDPT-25,CU22DCMEDPT-25,KG,230.32,115157.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU23.5MPMEDPT-25,CU23.5MPMEDPT-25,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU23DCMEDPT-25,CU23DCMEDPT-25,KG,244.20,117218.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU26SSMEDPT-10,CU26SSMEDPT-10,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU27SSFINEPT-10,CU27SSFINEPT-10,KG,75.75,37117.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU2DCMEDPT-25,CU2DCMEDPT-25,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU30DCMEDPT25,CU30DCMEDPT-25,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU30MPFINEPT-10,CU30MPFINEPT-10,KG,466.00,219017.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU30SSFINEPT-10,CU30SSFINEPT-10,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU31DCMEDPT-25,CU31DCMEDPT-25,KG,57.08,26542.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU31FCMEDPT-10,CU31FCMEDPT-10,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU34MPFINEPT-10,CU34MPFINEPT-10,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU35.5MPFINEPT-10,CU35.5MPFINEPT-10,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU35FCMEDPT-10,CU35FCMEDPT-10,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU36AMPMEDPT-10,CU36AMPMEDPT-10,KG,340.63,163502.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU36SSNYLONMEDPT-10 ,CU36SSNYLONMEDPT-10,KG,615.86,61942.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU38*5SSMEDPT-10,CU38*5SSMEDPT-10,KG,21.69,10628.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU38*8SSMEDPT-10,CU38*8SSMEDPT-10,KG,50.90,24941.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU38.5SSFINEPT-4,CU38.5SSFINEPT-4,KG,133.40,32684.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU38HCMEDPT-10,CU38HCMEDPT-10,KG,43.26,20767.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU39MPMEDPT-4,CU39MPMEDPT-4,KG,10.12,4758.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU39SSFINEPT-4,CU39SSFINEPT-4,KG,574.30,279971.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU39SSMEDPT-10,CU39SSMEDPT-10,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU40SSFINEPT-10,CU40SSFINEPT-10,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU41HCMEDPT-4,CU41HCMEDPT-4,KG,46.66,23327.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU43SSFINEPT-4,CU43SSFINEPT-4,KG,107.28,52564.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU43SSMEDPT-4,CU43SSMEDPT-4,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CWWfactory2nd,CWWFACTORY2ND,KG,2023.04,971056.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),cu0.15*4SSFinePT10,cu0.15*4SSFinePT10,KG,58.98,37861.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),cu0.3sbmedpt-25,CU0.3SBMEDPT-25,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),cu0.9DCSBMEDPT-25,CU0.9DCSBMEDPT-25,KG,51.04,24499.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),cu21.5hcmedm-266,CU21.5HCMEDM-266,KG,39.14,19567.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),cu23mpfinept-25,CU23MPFINEPT-25,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),cu34AMPMEDPT-10,CU34AMPMEDPT-10,KG,11.18,5368.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),miscfgcu,MISCFGCU,KG,116.58,55956.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,1.0957,CU0.56DCSBMEDPT-25,CU0.56DCSBMEDPT-25,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,1.0957,CU0.87DCFINEPT-180,CU0.87DCFINEPT-180,KG,165.12,79257.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,1.0957,CU0.95DCMEDPT-180,CU0.95DCMEDPT-180,KG,121.08,58118.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,1.0957,CU2.24MCMEDPT-90,CU2.24MCMEDPT-90,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,1.0957,CU2DCMEDPT-90,CU2DCMEDPT-90,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,Weekly WWMA PLUS 1,CU0.115SSFINEPT-4,CU0.115SSFINEPT-4,KG,240.14,117671.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,Weekly WWMA PLUS 1,CU0.11SSFINEPT-4,CU0.11SSFINEPT-4,KG,6.02,2952.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,Weekly WWMA PLUS 1,CU0.12SSFINEPT-4,CU0.12SSFINEPT-4,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,Weekly WWMA PLUS 1,CU0.15SSFINEPT-10,CU0.15SSFINEPT-10,KG,468.13,229383.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,Weekly WWMA PLUS 1,CU0.17SSFINEPT-10,CU0.17SSFINEPT-10,KG,11.85,5806.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,Weekly WWMA PLUS 1,CU0.18SSFINEPT-10,CU0.18SSFINEPT-10,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,Weekly WWMA PLUS 1,CU0.19SSFINEPT-10,CU0.19SSFINEPT-10,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,Weekly WWMA PLUS 1,CU0.1SSFINEPT-4,CU0.1SSFINEPT-4,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,Weekly WWMA PLUS 1,CU0.21SSFINEPT-10,CU0.21SSFINEPT-10,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,Weekly WWMA PLUS 1,CU0.22SSMEDPT-10,CU0.22SSMEDPT-10,KG,3.88,1898.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
