Warehouse Name,S.No,Description,Unit,Total Stock,Outstanding Days,<= 1 Days,(2 - 2) Days,(3 - 3) Days,(4 - 4) Days,(5 - 5) Days,>= 5 Days
SPARE AND CONSUMABLE,5,TOP COAT THINNER,KG,180.00,4,0,0,0,180,0,0
,,, Value,,,0.00,0.00,0.00,40859.00,0.00,0.00
SPARE AND CONSUMABLE,6,COOLANT FOR ALUMINIUM FWD,L,2100.00,11,0,0,0,0,0,2100
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
SPARE AND CONSUMABLE,7,COOLANT FOR COPPER FWD,L,120.00,11,0,0,0,0,0,120
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
SPARE AND CONSUMABLE,8,COOLANT FOR COPPER RBD,L,10.00,11,0,0,0,0,0,10
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,1,CU0.07SSFINEPT-4,KG,12.42,11,0,0,0,0,0,12.425
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,2,CU0.102SSHFINEPT-4,KG,283.09,11,0,0,0,0,0,283.09
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,3,CU0.11SSFINEPT-4,KG,443.80,11,0,0,0,0,0,443.805
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,4,CU0.125SSHFINEPT-4,KG,283.72,8,0,0,0,0,0,283.715
,,, Value,,,0.00,0.00,0.00,0.00,0.00,140438.92
FINISHED GOODS - SEC,5,CU0.132SSHFINEPT-4,KG,342.85,9,0,0,0,0,0,342.85
,,, Value,,,0.00,0.00,0.00,0.00,0.00,169710.75
FINISHED GOODS - SEC,6,CU0.14SSHFINEPT-10,KG,197.82,8,0,0,0,0,0,197.825
,,, Value,,,0.00,0.00,0.00,0.00,0.00,97923.38
FINISHED GOODS - SEC,7,CU0.14SSMEDPT-10,KG,482.98,11,0,0,0,0,0,482.98
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,8,CU0.152SSHFINEPT-10,KG,298.06,8,0,0,0,0,0,298.055
,,, Value,,,0.00,0.00,0.00,0.00,0.00,147537.22
FINISHED GOODS - SEC,9,CU0.15SSFINEPT-10,KG,5.96,11,0,0,0,0,0,5.96
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,10,CU0.15SSMEDPT-10,KG,98.17,11,0,0,0,0,0,98.17
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,11,CU0.16SSHFINEPT-10,KG,600.98,11,0,0,0,0,0,600.975
,,, Value,,,0.00,0.00,0.00,0.00,0.00,297482.62
FINISHED GOODS - SEC,12,CU0.17SSFINEPT-10,KG,98.36,11,0,0,0,0,0,98.355
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,13,CU0.18SSMEDPT-10,KG,202.17,7,0,0,0,0,0,202.17
,,, Value,,,0.00,0.00,0.00,0.00,0.00,99063.30
FINISHED GOODS - SEC,14,CU0.193SSFINEPT-10,KG,32.46,11,0,0,0,0,0,32.465
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,15,CU0.1SSFINEPT-4,KG,101.18,11,0,0,0,0,0,101.18
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,16,CU0.22SSFINEPT-10,KG,729.52,4,0,0,0,729.525,0,0
,,, Value,,,0.00,0.00,0.00,357467.25,0.00,0.00
FINISHED GOODS - SEC,17,CU0.22SSMEDPT-10,KG,65.61,11,0,0,0,0,0,65.61
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,18,CU0.23SSFINEPT-10,KG,634.74,11,0,417.5,0,0,0,217.24
,,, Value,,,0.00,204575.00,0.00,0.00,0.00,70354.20
FINISHED GOODS - SEC,19,CU0.25SSFINEPT-10,KG,10.88,11,0,0,0,0,0,10.875
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,20,CU0.26SSFINEPT-10,KG,23.62,11,0,0,0,0,0,23.62
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,21,CU0.2SSMEDPT-10,KG,30.58,11,0,0,0,0,0,30.585
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,22,CU0.315SSHFINEPT-10,KG,7.58,11,0,0,0,0,0,7.575
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,23,CU0.35DCMEDPT-25,KG,205.72,11,0,0,0,0,0,205.715
,,, Value,,,0.00,0.00,0.00,0.00,0.00,98743.20
FINISHED GOODS - SEC,24,CU0.35MCFINEPT-90,KG,70.59,11,0,0,0,0,0,70.59
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,25,CU0.35SSHMEDPT-10,KG,18.42,11,0,0,0,0,0,18.42
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,26,CU0.3FCMEDPT-25,KG,18.82,11,0,0,0,0,0,18.82
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,27,CU0.417SSHFINEPT-10,KG,16.92,11,0,0,0,0,0,16.925
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,28,CU0.45DCFINEPT-90,KG,245.52,11,0,0,0,0,0,245.515
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,29,CU0.45DCMEDPT-90,KG,54.60,11,0,0,0,0,0,54.6
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,30,CU0.47SBMEDPT-25,KG,185.90,11,0,0,0,0,0,185.905
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,31,CU0.508SSMEDPT-25,KG,7.31,11,0,0,0,0,0,7.31
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,32,CU0.55DCFINEPT-45,KG,79.25,11,0,0,0,0,0,79.25
,,, Value,,,0.00,0.00,0.00,0.00,0.00,29143.20
FINISHED GOODS - SEC,33,CU0.55DCFINEPT-90,KG,212.70,11,0,0,0,0,0,212.705
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,34,CU0.55DCFinePT-25,KG,524.02,11,0,0,0,0,0,524.015
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,35,CU0.55MCFINEPT-45,KG,278.34,11,0,0,0,0,0,278.335
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,36,CU0.56DCSBMEDPT-25,KG,695.26,11,0,0,0,0,0,695.265
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,37,CU0.63DCFINEPT-25,KG,237.02,11,0,0,0,0,0,237.02
,,, Value,,,0.00,0.00,0.00,0.00,0.00,113769.60
FINISHED GOODS - SEC,38,CU0.63DCMEDPT-25,KG,68.78,11,0,0,0,0,0,68.78
,,, Value,,,0.00,0.00,0.00,0.00,0.00,33014.40
FINISHED GOODS - SEC,39,CU0.65DCFINEPT-45,KG,32.94,11,0,0,0,0,0,32.945
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,40,CU0.65MCFINEPT-45,KG,306.34,11,0,0,0,0,0,306.335
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,41,CU0.69MPFINEPT-90,KG,10.00,11,0,0,0,0,0,10
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,42,CU0.6DCFINEPT-25,KG,127.08,11,0,0,0,0,0,127.075
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,43,CU0.6DCFINEPT-45,KG,687.30,7,0,0,0,0,0,687.305
,,, Value,,,0.00,0.00,0.00,0.00,0.00,329906.40
FINISHED GOODS - SEC,44,CU0.6DCFINEPT-90,KG,81.56,11,0,0,0,0,0,81.565
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,45,CU0.6DCMEDPT-90,KG,82.02,11,0,0,0,0,0,82.02
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,46,CU0.71SSMEDPT-25,KG,34.46,11,0,0,0,0,0,34.46
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,47,CU0.73DCFINEPT-90,KG,27.81,11,0,0,0,0,0,27.81
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,48,CU0.75DCMEDM-266,KG,22.30,11,0,0,0,0,0,22.305
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,49,CU0.75MPFINEPT-90,KG,554.30,11,0,0,0,0,0,554.3
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,50,CU0.7DCMEDPT-45,KG,123.83,11,0,0,0,0,0,123.83
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,51,CU0.7DCMEDPT-90,KG,158.64,11,0,0,0,0,0,158.64
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,52,CU0.7SSFINEPT-25,KG,22.78,3,0,0,22.775,0,0,0
,,, Value,,,0.00,0.00,10932.00,0.00,0.00,0.00
FINISHED GOODS - SEC,53,CU0.85MCMEDPT-90,KG,172.54,11,0,0,0,0,0,172.535
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,54,CU0.85MPFINEPT-90,KG,373.32,11,0,0,0,0,0,373.32
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,55,CU0.8DCMEDPT-90,KG,626.34,10,0,0,0,0,0,626.335
,,, Value,,,0.00,0.00,0.00,0.00,0.00,288114.10
FINISHED GOODS - SEC,56,CU0.8MPMEDPT-90,KG,267.37,11,0,0,0,0,0,267.37
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,57,CU0.9DCFINEPT-90,KG,236.16,11,0,0,0,0,0,236.155
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,58,CU0.9DCMEDPT-90,KG,84.28,7,0,0,0,0,0,84.285
,,, Value,,,0.00,0.00,0.00,0.00,0.00,40456.80
FINISHED GOODS - SEC,59,CU0.9MPFINEPT-90,KG,160.32,5,0,0,0,0,160.32,0
,,, Value,,,0.00,0.00,0.00,0.00,75350.40,0.00
FINISHED GOODS - CW - JW - MANDEEP,1,CU1.00 BARE WIRE (JW),KG,3000.00,2,0,3000,0,0,0,0
,,, Value,,,0.00,24000.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,1,CU1.05DCMEDPT-90,KG,847.68,11,0,335.375,84.32,0,110.905,317.08
,,, Value,,,0.00,160980.00,40473.60,0.00,53234.40,152198.40
FINISHED GOODS - SEC,2,CU1.05HCMEDM-266,KG,149.38,11,0,0,0,0,0,149.375
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,3,CU1.06DCMEDM-266,KG,173.34,11,0,0,0,0,0,173.335
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,4,CU1.15DCFINEPT-180,KG,356.54,11,0,0,0,0,0,356.54
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,5,CU1.1HCMEDM-266,KG,139.20,11,0,0,0,0,0,139.195
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,6,CU1.22MCFINEPT-90,KG,169.60,11,0,0,0,0,0,169.595
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,7,CU1.3MCFINEPT-180,KG,164.16,11,0,0,0,0,0,164.16
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,8,CU1.8DCFINEM-266,KG,22.08,11,0,0,0,0,0,22.085
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,9,CU12MPMEDM-266,KG,22.10,11,0,0,0,0,0,22.1
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,10,CU15HCMEDM-266,KG,162.80,11,0,0,0,0,0,162.8
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,11,CU16.5MPMEDM-266,KG,58.94,11,0,0,0,0,0,58.945
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,12,CU16MPMEDM-266,KG,403.56,11,0,0,0,0,0,403.565
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,13,CU17.5MPMEDM-266,KG,461.88,11,0,0,0,0,0,461.885
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,14,CU17MPMEDM-266,KG,266.64,11,0,0,0,0,0,266.645
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,15,CU18MPMEDM-266,KG,970.21,11,0,0,0,0,0,970.21
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,16,CU19.5MPMEDPT-25,KG,46.88,11,0,0,0,0,0,46.875
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,17,CU19DCMEDM-266,KG,37.50,11,0,0,0,0,0,37.505
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,18,CU19HCMEDM-266,KG,20.28,11,0,0,0,0,0,20.28
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,19,CU1DCFINEPT-25,KG,129.16,11,0,0,0,0,0,129.155
,,, Value,,,0.00,0.00,0.00,0.00,0.00,61994.40
FINISHED GOODS - SEC,20,CU1DCFINEPT90,KG,161.94,8,0,0,0,0,0,161.935
,,, Value,,,0.00,0.00,0.00,0.00,0.00,80967.50
FINISHED GOODS - SEC,21,CU1DCMEDPT-90,KG,84.34,10,0,0,0,0,0,84.34
,,, Value,,,0.00,0.00,0.00,0.00,0.00,40483.20
FINISHED GOODS - SEC,22,CU20.5MPMEDPT-25,KG,835.24,11,0,0,0,0,0,835.245
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,23,CU20HCMEDM-266,KG,71.28,11,0,0,0,0,0,71.28
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,24,CU20MPMEDPT-25,KG,102.99,11,0,0,0,0,0,102.99
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,25,CU21.5MPMEDPT-25,KG,109.08,11,0,0,0,0,0,109.075
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,26,CU21MPMEDPT-25,KG,33.92,11,0,0,0,0,0,33.915
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,27,CU22.5MPMEDPT-25,KG,19.51,11,0,0,0,0,0,19.51
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,28,CU23MPMEDPT-25,KG,289.98,11,0,0,0,0,0,289.985
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,29,CU25DCMEDPT-25,KG,163.28,11,0,0,0,0,0,163.275
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,30,CU25MPMEDPT-25,KG,248.18,11,0,0,0,0,0,248.185
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,31,CU26FCMEDPT-25,KG,7.20,11,0,0,0,0,0,7.2
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,32,CU26MPFINEPT-25,KG,129.16,6,0,0,0,0,0,129.165
,,, Value,,,0.00,0.00,0.00,0.00,0.00,60707.55
FINISHED GOODS - SEC,33,CU26SSMEDPT-10,KG,35.07,11,0,0,0,0,0,35.07
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,34,CU27FCMEDPT-25,KG,58.05,11,0,0,0,0,0,58.05
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,35,CU27MPMEDPT-25,KG,18.14,11,0,0,0,0,0,18.14
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,36,CU28MPFINEPT-25,KG,6.71,7,0,0,0,0,0,6.71
,,, Value,,,0.00,0.00,0.00,0.00,0.00,1342.00
FINISHED GOODS - SEC,37,CU28MPMEDPT-25,KG,369.08,11,0,0,0,0,0,369.075
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,38,CU29MPMEDPT-25,KG,20.20,11,0,0,0,0,0,20.2
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,39,CU29SSMEDPT-10,KG,3.84,11,0,0,0,0,0,3.845
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,40,CU30MPMEDPT-10,KG,516.63,5,0,0,0,0,516.63,0
,,, Value,,,0.00,0.00,0.00,0.00,242816.10,0.00
FINISHED GOODS - SEC,41,CU30SSFINEPT-10,KG,45.93,11,0,0,0,0,0,45.93
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,42,CU30SSMEDPT-10,KG,488.30,9,0,0,0,0,0,488.305
,,, Value,,,0.00,0.00,0.00,0.00,0.00,239269.45
FINISHED GOODS - SEC,43,CU31DCMEDPT-25,KG,55.83,11,0,0,0,0,0,55.83
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,44,CU31MPFINEPT-10,KG,22.75,11,0,0,0,0,0,22.75
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,45,CU31SSMEDPT-10,KG,2.69,11,0,0,0,0,0,2.69
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,46,CU32*2SSMEDPT-10,KG,5.70,11,0,0,0,0,0,5.7
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,47,CU32MPMEDPT-10,KG,1283.46,11,0,359.275,0,909.28,0,14.91
,,, Value,,,0.00,168859.25,0.00,427361.60,0.00,0.00
FINISHED GOODS - SEC,48,CU32SSFINEPT-10,KG,11.73,11,0,0,0,0,0,11.73
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,49,CU33DCMEDPT-10,KG,24.38,11,0,0,0,0,0,24.375
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,50,CU33MPMEDPT-10,KG,111.74,11,0,0,0,0,0,111.74
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,51,CU33SSMEDPT-10,KG,928.09,11,0,847.595,0,0,0,80.495
,,, Value,,,0.00,415321.55,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,52,CU35*2SSMEDPT-10,KG,27.48,11,0,0,0,0,0,27.475
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,53,CU35SSMEDPT-10,KG,1704.64,11,0,0,0,0,0,1704.635
,,, Value,,,0.00,0.00,0.00,0.00,0.00,828320.50
FINISHED GOODS - SEC,54,CU36AMPMEDPT-10,KG,340.63,11,0,0,0,0,0,340.63
,,, Value,,,0.00,0.00,0.00,0.00,0.00,163502.40
FINISHED GOODS - SEC,55,CU36SSMEDPT-10,KG,37.22,11,0,0,0,0,0,37.225
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,56,CU37*4SSMEDPT-10,KG,17.13,11,0,0,0,0,0,17.13
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,57,CU37FCMEDPT-10,KG,24.29,11,0,0,0,0,0,24.29
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,58,CU37MPMEDPT-10,KG,24.89,11,0,0,0,0,0,24.89
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,59,CU37SSMEDPT-10,KG,399.78,4,0,0,0,399.775,0,0
,,, Value,,,0.00,0.00,0.00,195889.75,0.00,0.00
FINISHED GOODS - SEC,60,CU38*3SSMEDPT-10,KG,338.23,11,0,0,0,0,0,338.23
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,61,CU38*5SSMEDPT-10,KG,21.69,11,0,0,0,0,0,21.69
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,62,CU38*8SSMEDPT-10,KG,7.10,11,0,0,0,0,0,7.105
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,63,CU38FCMEDPT-10,KG,356.10,7,0,0,0,0,0,356.1
,,, Value,,,0.00,0.00,0.00,0.00,0.00,167367.00
FINISHED GOODS - SEC,64,CU38HCMEDPT-10,KG,56.78,11,0,0,0,0,0,56.78
,,, Value,,,0.00,0.00,0.00,0.00,0.00,27254.40
FINISHED GOODS - SEC,65,CU38SSMEDPT-4,KG,27.56,11,0,0,0,0,0,27.56
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,66,CU39MPMEDPT-4,KG,10.12,11,0,0,0,0,0,10.125
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,67,CU40SSMEDPT-4,KG,3.78,11,0,0,0,0,0,3.775
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
