Custmer Name,Category Name,Item Desc.,Effective Date,Expiry Date,Base Price,Minimum Price,MRP Rate,MRP Price
Elin Electronics Ltd,Prov,CU0.13SSFINEPT-4,01-05-2015,31-05-2015,84.5,84.5,10,511.5
Elin Electronics Ltd,Prov,CU0.23SSMEDPT-10,01-05-2015,31-05-2015,74.5,74.5,10,463.6
Elin Electronics Ltd,Prov,CU22HCMEDPT-25,01-05-2015,31-05-2015,43,43,10,470
Elin Electronics Ltd,Prov,CU24FCMEDPT-25,01-05-2015,31-05-2015,37.5,37.5,10,464.5
Elin Electronics Ltd,Prov,CU24DCMEDPT-25,01-05-2015,31-05-2015,47.5,47.5,10,474.5
Elin Electronics Ltd,Prov,CU25FCMEDPT-25,01-05-2015,31-05-2015,38,38,10,465
Elin Electronics Ltd,Prov,CU25DCMEDPT-25,01-05-2015,31-05-2015,48.25,48.25,10,475.25
Elin Electronics Ltd,Prov,CU26FCMEDPT-25,01-05-2015,31-05-2015,38.75,38.75,10,465.75
Elin Electronics Ltd,Prov,CU26DCMEDPT-25,01-05-2015,31-05-2015,49,49,10,476
Elin Electronics Ltd,Prov,CU27HCMEDPT-25,01-05-2015,31-05-2015,47,47,10,474
Elin Electronics Ltd,Prov,CU27FCMEDPT-25,01-05-2015,31-05-2015,40.5,40.5,10,467.5
Elin Electronics Ltd,Prov,CU28HCMEDPT-25,01-05-2015,31-05-2015,48,48,10,475
Elin Electronics Ltd,Prov,CU28DCMEDPT-25,01-05-2015,31-05-2015,51,51,10,478
Elin Electronics Ltd,Prov,CU29DCMEDPT-25,01-05-2015,31-05-2015,52.25,52.25,10,479.25
Elin Electronics Ltd,Prov,CU30DCMEDPT-10,01-05-2015,31-05-2015,54.25,54.25,10,481.25
Elin Electronics Ltd,Prov,CU33HCMEDPT-10,01-05-2015,31-05-2015,54.25,54.25,10,481.25
Elin Electronics Ltd,Prov,CU31DCMEDPT-10,01-05-2015,31-05-2015,57.25,57.25,10,484.25
Elin Electronics Ltd,Prov,CU32DCMEDPT-25,01-05-2015,31-05-2015,59.25,59.25,10,486.25
Elin Electronics Ltd,Prov,CU33FCMEDPT-10,01-05-2015,31-05-2015,51,51,10,478
Elin Electronics Ltd,Prov,CU34HCMEDPT-10,01-05-2015,31-05-2015,52,52,10,479
Elin Electronics Ltd,Prov,CU23.5FCMEDPT-25,01-05-2015,31-05-2015,39.5,39.5,10,466.5
Elin Electronics Ltd,Prov,CU0.25SSMEDPT-10,01-05-2015,31-05-2015,74.5,74.5,10,501.5
GETMAG ENTERPRISES,"Weekly WWMA+1%
",CU35*2SSMEDPT-10,29-06-2015,,175,175,0,605.54
KAVRI ELECTRONICS,"Weekly WWMA+1%
",CU20MPMEDPT-25,29-06-2015,,44,44,0,474.54
KAVRI ELECTRONICS,"Weekly WWMA+1%
",CU30SSMEDPT-10,29-06-2015,,74,74,0,504.54
KAVRI ELECTRONICS,"Weekly WWMA+1%
",CU31SSMEDPT-10,29-06-2015,,75,75,0,505.54
KAVRI ELECTRONICS,"Weekly WWMA+1%
",CU32SSMEDPT-10,29-06-2015,,76,76,0,506.54
KAVRI ELECTRONICS,"Weekly WWMA+1%
",CU34SSMEDPT-10,29-06-2015,,78,78,0,508.54
KAVRI ELECTRONICS,"Weekly WWMA+1%
",CU36SSMEDPT-10,29-06-2015,,83,83,0,513.54
KAVRI ELECTRONICS,"Weekly WWMA+1%
",CU37SSMEDPT-10,29-06-2015,,85,85,0,515.54
KAVRI ELECTRONICS,"Weekly WWMA+1%
",CU38SSMEDPT-10,29-06-2015,,88,88,0,518.54
KAVRI ELECTRONICS,"Weekly WWMA+1%
",CU39SSMEDPT-4,29-06-2015,,98,98,0,528.54
KAVRI ELECTRONICS,"Weekly WWMA+1%
",CU40SSMEDPT-4,29-06-2015,,108,108,0,538.54
Gursim  Techno India,"Weekly WWMA
",CU17MPMEDM-266,29-06-2015,,42,42,4.05,467.75
Gursim  Techno India,"Weekly WWMA
",CU25SSFINEPT-25,29-06-2015,,59,59,4.05,484.75
Gursim  Techno India,"Weekly WWMA
",CU26SSMEDPT-10,29-06-2015,,61,61,4.05,486.75
Gursim  Techno India,"Weekly WWMA
",CU27SSFINEPT-10,29-06-2015,,61,61,4.05,486.75
Gursim  Techno India,"Weekly WWMA
",CU30MPMEDPT-10,29-06-2015,,52,52,4.05,477.75
Gursim  Techno India,"Weekly WWMA
",CU30SSMEDPT-10,29-06-2015,,65.5,65.5,4.05,491.25
Gursim  Techno India,"Weekly WWMA
",CU32SSMEDPT-10,29-06-2015,,70.5,70.5,4.05,496.25
Gursim  Techno India,"Weekly WWMA
",CU33SSMEDPT-10,29-06-2015,,71.5,71.5,4.05,497.25
Gursim  Techno India,"Weekly WWMA
",CU35SSMEDPT-10,29-06-2015,,74.5,74.5,4.05,500.25
Gursim  Techno India,"Weekly WWMA
",CU36MPMEDPT-10,29-06-2015,,62,62,4.05,487.75
G K WINDING WIRES LTD. - FARIDABAD,Branch - Fbd,AL0.75MPMEDPT-90,14-06-2015,21-06-2015,107.5,107.5,0,258.72
Gursim  Techno India,"Weekly WWMA
",CU0.18SSFINEPT-10,29-06-2015,,79.5,79.5,4.05,505.25
Gursim  Techno India,"Weekly WWMA
",CU38SSMEDPT-10,29-06-2015,,82.5,82.5,4.05,508.25
Gursim  Techno India,"Weekly WWMA
",CU38*3SSMEDPT-10,29-06-2015,,159,159,4.05,584.75
Gursim  Techno India,"Weekly WWMA
",CU39SSMEDPT-4,29-06-2015,,87.5,87.5,4.05,513.25
Gursim  Techno India,"Weekly WWMA
",CU40SSMEDPT-4,29-06-2015,,97.5,97.5,4.05,523.25
Gursim  Techno India,"Weekly WWMA
",CU41SSFINEPT-4,29-06-2015,,107.5,107.5,4.05,533.25
Gursim  Techno India,"Weekly WWMA
",CU42SSFINEPT-4,29-06-2015,,117.5,117.5,4.05,543.25
HAVELLS INDIA LTD ( HARIDWAR),Prov,CU36SSMEDPT-10,04-06-2015,,79.58,79.58,25.77,509.77
HAVELLS INDIA LTD ( HARIDWAR),Prov,CU37SSMEDPT-10,04-06-2015,,84.58,84.58,25.77,514.77
HAVELLS INDIA LTD ( HARIDWAR),Prov,CU38SSMEDPT-10,04-06-2015,,87.58,87.58,25.77,517.77
HONDA SIEL POWER PRODUCTS LTD,"2 Week WWMA avg
",CU0.5DCMEDPT-45,22-06-2015,06-07-2015,52,52,12.91,493.98
HONDA SIEL POWER PRODUCTS LTD,"2 Week WWMA avg
",CU0.6DCMEDPT-45,22-06-2015,06-07-2015,51,51,12.91,492.98
HONDA SIEL POWER PRODUCTS LTD,"2 Week WWMA avg
",CU0.7DCMEDPT-45,22-06-2015,06-07-2015,50,50,12.91,491.98
HONDA SIEL POWER PRODUCTS LTD,"2 Week WWMA avg
",CU0.75DCMEDPT-45,22-06-2015,06-07-2015,49,49,12.91,490.98
HONDA SIEL POWER PRODUCTS LTD,"2 Week WWMA avg
",CU0.8DCMEDPT-45,22-06-2015,06-07-2015,49,49,12.91,490.98
HONDA SIEL POWER PRODUCTS LTD,"2 Week WWMA avg
",CU0.9DCMEDPT-45,22-06-2015,06-07-2015,48,48,12.91,489.98
HONDA SIEL POWER PRODUCTS LTD,"2 Week WWMA avg
",CU1DCMEDPT-45,22-06-2015,06-07-2015,48,48,12.91,489.98
GOEL LIGHTING,"Weekly WWMA+1%
",CU30SSMEDPT-10,29-06-2015,,65.5,65.5,0,496.04
GOEL LIGHTING,"Weekly WWMA+1%
",CU31SSMEDPT-10,29-06-2015,,66.5,66.5,0,497.04
GOEL LIGHTING,"Weekly WWMA+1%
",CU32SSMEDPT-10,29-06-2015,,67.5,67.5,0,498.04
GOEL LIGHTING,"Weekly WWMA+1%
",CU33SSMEDPT-10,29-06-2015,,69.5,69.5,0,500.04
GOEL LIGHTING,"Weekly WWMA+1%
",CU34SSMEDPT-10,29-06-2015,,70.5,70.5,0,501.04
GOEL LIGHTING,"Weekly WWMA+1%
",CU35SSMEDPT-10,29-06-2015,,72.5,72.5,0,503.04
GOEL LIGHTING,"Weekly WWMA+1%
",CU36SSMEDPT-10,29-06-2015,,76.5,76.5,0,507.04
GOEL LIGHTING,"Weekly WWMA+1%
",CU37SSMEDPT-10,29-06-2015,,83.5,83.5,0,514.04
GOEL LIGHTING,"Weekly WWMA+1%
",CU38SSMEDPT-10,29-06-2015,,90.5,90.5,0,521.04
GOEL LIGHTING,"Weekly WWMA+1%
",CU39SSMEDPT-4,29-06-2015,,96.5,96.5,0,527.04
GOEL LIGHTING,"Weekly WWMA+1%
",CU40SSMEDPT-4,29-06-2015,,101.5,101.5,0,532.04
GOEL LIGHTING,"Weekly WWMA+1%
",CU41SSMEDPT-4,29-06-2015,,111.5,111.5,0,542.04
GOEL LIGHTING,"Weekly WWMA+1%
",CU42SSMEDPT-4,29-06-2015,,116.5,116.5,0,547.04
India Nippon Electrical Ltd ( UN III ),Job Work,CU0.9DCMEDM-266,25-12-2014,,40,40,10.72,40
India Nippon Electrical Ltd ( UN III ),Job Work,CU0.75DCMEDM-266,25-12-2014,,41,41,10.72,41
India Nippon Electrical Ltd ( UN III ),Job Work,,01-11-2014,,41,41,0,41
Elin Electronics Ltd,Prov,CU40SSFINEPT-4,01-05-2015,31-05-2015,104.5,104.5,10,531.5
Vardhman Electrical Appliances,"Weekly WWMA
",CU26MPFINEPT-25,29-06-2015,,39.5,39.5,4.05,465.25
Vardhman Electrical Appliances,"Weekly WWMA
",CU38MPFINEPT-10,29-06-2015,,65,65,4.05,490.75
Denso India Ltd.,"Denso
",CU0.7DCFINEPT-90,08-06-2015,,40,40,0,500.13
G K WINDING WIRES LTD. - FARIDABAD,Branch - Fbd,CU32SSFINEPT-10,28-06-2015,,65,65,4.1,495.54
J D Engineering,"Weekly WWMA+1%
",,01-11-2014,,65,65,491.52,556.52
G K WINDING WIRES LTD. - FARIDABAD,Branch - Fbd,CU42*10SSFINEPT-10,28-06-2015,,229,229,3.91,640.81
Kaynes Technology India P Ltd,"Kaynes
",CU0.71SSMEDPT-25,13-06-2015,,59,59,25.28,488.82
LUMINOUS POWER TECHNOLOGIES P LTD. BADDI,"Weekly WWMA+1%
",CU27SSFINEPT-25,29-06-2015,,68,68,0,498.54
LUMINOUS POWER TECHNOLOGIES P LTD. BADDI,"Weekly WWMA+1%
",AL18.5MPMEDPT-25,29-06-2015,,85,85,0,196.27
LUMINOUS POWER TECHNOLOGIES P LTD. BADDI,"Weekly WWMA+1%
",AL19MPMEDPT-25,29-06-2015,,85,85,0,196.27
LUMINOUS POWER TECHNOLOGIES P LTD. BADDI,"Weekly WWMA+1%
",AL22MPMEDPT-25,29-06-2015,,88,88,0,199.27
L G Electronics India (P) Ltd,"LG booking
",CU0.35DCMEDPT-90,08-06-2015,,53.5,53.5,0,510.3
L G Electronics India (P) Ltd,"LG booking
",CU0.4DCMEDPT-90,08-06-2015,,49.5,49.5,0,506.3
L G Electronics India (P) Ltd,"LG booking
",CU0.45DCMEDPT-90,08-06-2015,,47.5,47.5,0,504.3
L G Electronics India (P) Ltd,"LG booking
",CU0.5DCMEDPT-90,08-06-2015,,45.5,45.5,0,502.3
L G Electronics India (P) Ltd,"LG booking
",CU0.55DCMEDPT-90,08-06-2015,,45.5,45.5,0,502.3
L G Electronics India (P) Ltd,"LG booking
",CU0.6DCMEDPT-90,08-06-2015,,44,44,0,500.8
L G Electronics India (P) Ltd,"LG booking
",CU0.65DCMEDPT-90,08-06-2015,,44,44,0,500.8
L G Electronics India (P) Ltd,"LG booking
",CU0.7DCMEDPT-90,29-05-2015,,43.5,43.5,0.01,500.3
Mansfield Cable Co.,"Weekly WWMA
",CU0.3FCMEDPT-25,29-06-2015,,50,50,4.05,475.75
N.J.ELECTRONICS,"Weekly WWMA
",CU34SSMEDPT-10,29-06-2015,,75,75,4.05,500.75
N.J.ELECTRONICS,"Weekly WWMA
",CU35SSMEDPT-10,29-06-2015,,77,77,4.05,502.75
N.J.ELECTRONICS,"Weekly WWMA
",CU36SSMEDPT-10,29-06-2015,,80,80,4.05,505.75
N.J.ELECTRONICS,"Weekly WWMA
",CU37SSMEDPT-10,29-06-2015,,85,85,4.05,510.75
N.J.ELECTRONICS,"Weekly WWMA
",CU42SSMEDPT-4,29-06-2015,,120,120,4.05,545.75
NTL ElECTRONICS INDIA LTD.,"Monthly WWMA
",CU27SSFINEPT-25,01-06-2015,30-06-2015,55.5,55.5,26.75,522.48
NTL ElECTRONICS INDIA LTD.,"Monthly WWMA
",CU0.23SSMEDPT-10,01-06-2015,30-06-2015,61,61,26.75,518.63
NTL ElECTRONICS INDIA LTD.,"Monthly WWMA
",CU36SSMEDPT-10,01-06-2015,30-06-2015,71,71,26.75,537.98
NTL ElECTRONICS INDIA LTD.,"Monthly WWMA
",CU36.5SSMEDPT-10,01-06-2015,30-06-2015,73,73,26.75,539.98
Brite Industries,"Weekly WWMA
",CU38SSMEDPT-10,29-06-2015,,84,84,4.05,509.75
NTL ElECTRONICS INDIA LTD.,"Monthly WWMA
",CU37.5SSMEDPT-10,01-06-2015,30-06-2015,73,73,26.75,539.98
NTL ElECTRONICS INDIA LTD.,"Monthly WWMA
",CU38SSMEDPT-4,01-06-2015,30-06-2015,73,73,26.75,539.98
NTL ElECTRONICS INDIA LTD.,"Monthly WWMA
",CU39SSMEDPT-4,01-06-2015,30-06-2015,84,84,26.75,550.98
NTL ElECTRONICS INDIA LTD.,"Monthly WWMA
",CU40SSMEDPT-4,01-06-2015,30-06-2015,85,85,26.75,551.98
Mandeep Cables P Ltd,Job Work,CU1.00 BARE WIRE (JW),11-03-2015,,8.5,8.5,0,8.5
NOIDA ELECTRONICS,Job Work,CU1.00 BARE WIRE (JW),11-03-2015,,8.7,8.7,0,8.7
AMELCO KABLE PVT. LTD.,Job Work,CU13BARE WIRE,11-03-2015,,7,7,0,7
NTL ElECTRONICS INDIA LTD.,"Monthly WWMA
",CU38*5SSMEDPT-10,01-06-2015,30-06-2015,128,128,26.75,594.98
NTL ElECTRONICS INDIA LTD.,"Monthly WWMA
",CU32*2SSMEDPT-10,01-06-2015,30-06-2015,134,134,26.75,600.98
NTL ElECTRONICS INDIA LTD.,"Monthly WWMA
",CU37*3SSMEDPT-10,01-06-2015,30-06-2015,138,138,26.75,604.98
Orient Electric(ADivOfOrientPaper&InduLtd),Job Work,CU35MPMEDPT-10,26-12-2014,,31.5,31.5,10.72,31.5
Orient Electric(ADivOfOrientPaper&InduLtd),Job Work,CU36MPMEDPT-10,26-12-2014,,31.5,31.5,10.72,31.5
PG ELECTROPLAST LTD.UNIT-II,"Weekly WWMA+1%
",CU24MPMEDPT-25,29-06-2015,,40,40,0,470.54
PG ELECTROPLAST LTD.UNIT-II,"Weekly WWMA+1%
",CU25MPMEDPT-25,29-06-2015,,40,40,0,470.54
PG ELECTROPLAST LTD.UNIT-II,"Weekly WWMA+1%
",CU26MPMEDPT-25,29-06-2015,,41,41,0,471.54
PG ELECTROPLAST LTD.UNIT-II,"Weekly WWMA+1%
",CU29DCMEDPT-25,29-06-2015,,60,60,0,490.54
PG ELECTROPLAST LTD.UNIT-II,"Weekly WWMA+1%
",CU30DCMEDPT-10,29-06-2015,,61,61,0,491.54
PG ELECTROPLAST LTD.UNIT-II,"Weekly WWMA+1%
",CU31DCMEDPT-10,29-06-2015,,62,62,0,492.54
SHIVA TRADERS,"Balco Circular
",AL26MPMEDPT-25,17-03-2015,,110.5,110.5,7,271.95
SHIVA TRADERS,"Balco Circular
",AL27MPMEDPT-25,17-03-2015,,113.5,113.5,7,274.95
SHIVA TRADERS,"Balco Circular
",AL28MPMEDPT-25,17-03-2015,,117.5,117.5,7,278.95
SHIVA TRADERS,"Balco Circular
",AL29MPMEDPT-25,17-03-2015,,123.5,123.5,7,284.95
SHIVA TRADERS,"Balco Circular
",AL30MPMEDPT-25,17-03-2015,,125.5,125.5,7,286.95
SHIVA TRADERS,"Balco Circular
",AL31MPMEDPT-10,17-03-2015,,125.5,125.5,7,286.95
SHIVA TRADERS,"Balco Circular
",AL32MPMEDPT-10,17-03-2015,,127.5,127.5,7,288.95
SHIVA TRADERS,"Balco Circular
",AL34MPMEDPT-10,17-03-2015,,140.5,140.5,7,301.95
PREETHI KITCHEN APPLIANCES P.LTD-HP-JA,"Weekly WWMA
",CU22DCMEDM-266,29-06-2015,,54,54,4.05,479.75
PREETHI KITCHEN APPLIANCES P.LTD-HP-JA,"Weekly WWMA
",CU24DCMEDPT-25,29-06-2015,,55,55,4.05,480.75
PREETHI KITCHEN APPLIANCES P.LTD-HP-JA,"Weekly WWMA
",CU25DCMEDPT-25,29-06-2015,,56,56,4.05,481.75
PREETHI KITCHEN APPLIANCES P.LTD-HP-JA,"Weekly WWMA
",CU26DCMEDPT-25,29-06-2015,,57,57,4.05,482.75
PREETHI KITCHEN APPLIANCES P.LTD-HP-JA,"Weekly WWMA
",CU29DCMEDPT-25,29-06-2015,,60.25,60.25,4.05,486
PREETHI KITCHEN APPLIANCES P.LTD-HP-JA,"Weekly WWMA
",CU30DCMEDPT-10,29-06-2015,,62.25,62.25,4.05,488
PREETHI KITCHEN APPLIANCES P.LTD-HP-JA,"Weekly WWMA
",CU31DCMEDPT-10,29-06-2015,,63.25,63.25,4.05,489
G K WINDING WIRES LTD. - DELHI,Branch - Del,CU38HCFINEPT-10,28-06-2015,,88,88,4.1,518.54
G K WINDING WIRES LTD. - DELHI,Branch - Del,CU39HCFINEPT-10,28-06-2015,,88,88,4.1,518.54
PREETHI KITCHEN APPLIANCES P.LTD-HP-JA,"Weekly WWMA
",AL24HCMEDPT-25,29-06-2015,,130,130,4.05,241.94
Rama Trading Co,"Weekly WWMA
",AL16MPMEDM-266,29-06-2015,,75,75,4.05,186.94
Rama Trading Co,"Weekly WWMA
",AL17MPMEDM-266,29-06-2015,,76,76,4.05,187.94
Rama Trading Co,"Weekly WWMA
",AL18MPMEDM-266,29-06-2015,,76,76,4.05,187.94
Rama Trading Co,"Weekly WWMA
",AL22HCMEDPT-25,29-06-2015,,103,103,4.05,214.94
Rama Trading Co,"Weekly WWMA
",AL23HCMEDPT-25,29-06-2015,,104,104,4.05,215.94
Rama Trading Co,"Weekly WWMA
",AL24HCMEDPT-25,29-06-2015,,107,107,4.05,218.94
Rama Trading Co,"Weekly WWMA
",CU10MPMEDM-266,29-06-2015,,41,41,4.05,466.75
Rama Trading Co,"Weekly WWMA
",CU11MPMEDM-266,29-06-2015,,41,41,4.05,466.75
Rama Trading Co,"Weekly WWMA
",CU12MPMEDM-266,29-06-2015,,41,41,4.05,466.75
Rama Trading Co,"Weekly WWMA
",CU13MPMEDM-266,29-06-2015,,41,41,4.05,466.75
Rama Trading Co,"Weekly WWMA
",CU16MPMEDM-266,29-06-2015,,36,36,4.05,461.75
Rama Trading Co,"Weekly WWMA
",CU17MPMEDM-266,29-06-2015,,36,36,4.05,461.75
Rama Trading Co,"Weekly WWMA
",CU17.5MPMEDM-266,29-06-2015,,36,36,4.05,461.75
Rama Trading Co,"Weekly WWMA
",CU18MPMEDM-266,29-06-2015,,36,36,4.05,461.75
Rama Trading Co,"Weekly WWMA
",CU18.5MPMEDM-266,29-06-2015,,36,36,4.05,461.75
Rama Trading Co,"Weekly WWMA
",CU19MPMEDM-266,29-06-2015,,36,36,4.05,461.75
Rama Trading Co,"Weekly WWMA
",CU19.5MPMEDPT-25,29-06-2015,,36,36,4.05,461.75
Rama Trading Co,"Weekly WWMA
",CU20MPMEDPT-25,29-06-2015,,36,36,4.05,461.75
Rama Trading Co,"Weekly WWMA
",CU20.5MPMEDPT-25,29-06-2015,,38,38,4.05,463.75
Rama Trading Co,"Weekly WWMA
",CU21MPMEDPT-25,29-06-2015,,38,38,4.05,463.75
Rama Trading Co,"Weekly WWMA
",CU22MPMEDM-266,29-06-2015,,38.5,38.5,4.05,464.25
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",AL16MPMEDM-266,29-06-2015,,80,80,4.05,203.64
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",AL17MPMEDM-266,29-06-2015,,81,81,4.05,204.64
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",AL18MPMEDM-266,29-06-2015,,81,81,4.05,204.64
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",AL22HCMEDPT-25,29-06-2015,,108,108,4.05,231.64
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",AL23HCMEDPT-25,29-06-2015,,109,109,4.05,232.64
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",AL24HCMEDPT-25,29-06-2015,,112,112,4.05,235.64
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU10MPMEDM-266,29-06-2015,,46,46,4.05,471.75
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU11MPMEDM-266,29-06-2015,,46,46,4.05,471.75
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU12MPMEDM-266,29-06-2015,,46,46,4.05,471.75
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU13MPMEDM-266,29-06-2015,,46,46,4.05,471.75
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU16MPMEDM-266,29-06-2015,,41,41,4.05,466.75
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU17MPMEDM-266,29-06-2015,,41,41,4.05,466.75
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU17.5MPMEDM-266,29-06-2015,,41,41,4.05,466.75
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU18MPMEDM-266,29-06-2015,,41,41,4.05,466.75
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU18.5MPMEDM-266,29-06-2015,,41,41,4.05,466.75
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU19MPMEDM-266,29-06-2015,,41,41,4.05,466.75
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU19.5MPMEDPT-25,29-06-2015,,41,41,4.05,466.75
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU20MPMEDPT-25,29-06-2015,,41,41,4.05,466.75
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU20.5MPMEDPT-25,29-06-2015,,43,43,4.05,468.75
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU21MPMEDPT-25,29-06-2015,,43,43,4.05,468.75
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU22MPMEDM-266,29-06-2015,,43.5,43.5,4.05,469.25
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU23MPMEDPT-25,29-06-2015,,45,45,4.05,470.75
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU24MPMEDPT-25,29-06-2015,,46,46,4.05,471.75
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU25MPMEDPT-25,29-06-2015,,47,47,4.05,472.75
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU26MPMEDPT-25,29-06-2015,,48.5,48.5,4.05,474.25
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU27MPMEDPT-25,29-06-2015,,49,49,4.05,474.75
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU28MPMEDPT-25,29-06-2015,,50.5,50.5,4.05,476.25
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU29MPMEDPT-25,29-06-2015,,53,53,4.05,478.75
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU30MPMEDPT-10,29-06-2015,,54.5,54.5,4.05,480.25
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU31MPMEDPT-10,29-06-2015,,57,57,4.05,482.75
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU32MPMEDPT-10,29-06-2015,,57.5,57.5,4.05,483.25
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU33MPMEDPT-10,29-06-2015,,58.5,58.5,4.05,484.25
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU34MPMEDPT-10,29-06-2015,,59,59,4.05,484.75
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU35MPMEDPT-10,29-06-2015,,61,61,4.05,486.75
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU36MPMEDPT-10,29-06-2015,,64,64,4.05,489.75
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU16HCMEDM-266,29-06-2015,,55,55,4.05,480.75
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU17HCMEDM-266,29-06-2015,,55,55,4.05,480.75
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU18HCMEDM-266,29-06-2015,,55,55,4.05,480.75
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU18.5HCMEDM-266,29-06-2015,,55,55,4.05,480.75
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU19HCMEDM-266,29-06-2015,,55,55,4.05,480.75
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU19.5HCMEDPT-25,29-06-2015,,55,55,4.05,480.75
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU20HCMEDPT-25,29-06-2015,,55,55,4.05,480.75
Anil Dieseal Pvt Ltd.,"Weekly WWMA
",CU21HCMEDPT-25,29-06-2015,,57,57,4.05,482.75
