Category Name,Customer Name,Item Desc.,Item UOM,Base Price,Minimum Price,MRP Rate,MRP Price,Effective Date,Expiry Date
,,AL28MPMEDPT-10,KILOGRAM,116.00,116.00,0.00,263.90,14-06-2015,21-06-2015
,,AL28MPMEDPT-25,KILOGRAM,118.00,118.00,0.00,265.90,14-06-2015,21-06-2015
,,AL29MPMEDPT-10,KILOGRAM,118.00,118.00,0.00,258.65,14-06-2015,21-06-2015
,,AL29MPMEDPT-25,KILOGRAM,118.00,118.00,0.00,265.90,14-06-2015,21-06-2015
,,AL30MPMEDPT-25,KILOGRAM,120.00,120.00,0.00,267.90,14-06-2015,21-06-2015
,,AL30MPMEDPT-10,KILOGRAM,120.00,120.00,0.00,267.90,14-06-2015,21-06-2015
,,AL31MPMEDPT-10,KILOGRAM,122.00,122.00,0.00,269.90,14-06-2015,21-06-2015
,,AL33MPMEDPT-10,KILOGRAM,130.00,130.00,0.00,277.90,14-06-2015,21-06-2015
,,CU22.5HCMEDPT-25,KILOGRAM,44.50,44.50,4.10,475.04,28-06-2015,
,,CU1.1HCMEDM-266,KILOGRAM,41.00,41.00,4.10,471.54,28-06-2015,
,,CU16MPMEDM-266,KILOGRAM,35.00,35.00,4.10,465.54,28-06-2015,
,,CU25MPFINEPT-25,KILOGRAM,39.50,39.50,4.05,465.25,28-06-2015,
,,CU0.23SSMEDPT-10,KILOGRAM,72.00,72.00,4.10,502.54,28-06-2015,
,,CU22.25MPMEDM-266,KILOGRAM,30.00,30.00,4.10,460.54,28-06-2015,
,,CU18.25MPMEDM-266,KILOGRAM,28.00,28.00,4.10,458.54,28-06-2015,
,,CU35*2SSMEDPT-10,KILOGRAM,175.00,175.00,4.10,605.54,28-06-2015,
,,CU30MPMEDPT-25,KILOGRAM,42.00,42.00,0.00,502.00,14-06-2015,21-06-2015
,,CU39HCMEDPT-4,KILOGRAM,88.00,88.00,4.10,518.54,28-06-2015,
,,CU38HCFINEPT-4,KILOGRAM,88.00,88.00,4.10,518.54,28-06-2015,
,,CU0.22SSMEDPT-10,KILOGRAM,76.00,76.00,4.10,506.54,28-06-2015,
,,CU32MPFINEPT-10,KILOGRAM,42.50,42.50,4.05,468.25,28-06-2015,
,,CU31MPFINEPT-10,KILOGRAM,41.50,41.50,4.05,467.25,28-06-2015,
,,CU20DCMEDM-266,KILOGRAM,50.50,50.50,4.10,481.04,28-06-2015,
,,CU39SSMEDPT-10,KILOGRAM,101.00,101.00,0.00,545.20,14-06-2015,21-06-2015
,,CU39SSMEDPT-4,KILOGRAM,101.00,101.00,4.10,531.54,28-06-2015,
,,CU32DCMEDPT-25,KILOGRAM,65.00,65.00,4.10,490.61,28-06-2015,
,,CU25MPMEDPT-25,KILOGRAM,41.00,41.00,4.10,466.61,28-06-2015,
,,CU28MPFINEPT-25,KILOGRAM,40.00,40.00,4.05,465.75,28-06-2015,
,,CU40SSFINEPT-4,KILOGRAM,113.00,113.00,4.10,543.54,28-06-2015,
,,CU40SSMEDPT-4,KILOGRAM,125.00,125.00,4.10,555.54,28-06-2015,
,,CU41SSMEDPT-4,KILOGRAM,111.00,111.00,4.10,541.54,28-06-2015,
,,CU42SSFINEPT-4,KILOGRAM,128.00,128.00,4.10,538.94,28-06-2015,
,,CU42SSMEDPT-4,KILOGRAM,122.00,122.00,4.10,552.54,28-06-2015,
,,CU44SSFINEPT-4,KILOGRAM,158.00,158.00,4.10,588.54,28-06-2015,
,,CU45SSFINEPT-4,KILOGRAM,173.00,173.00,4.10,603.54,28-06-2015,
,,AL25MPMEDPT-25,KILOGRAM,89.50,89.50,0.00,237.40,14-06-2015,21-06-2015
,,AL26MPMEDPT-25,KILOGRAM,89.50,89.50,0.00,237.40,14-06-2015,21-06-2015
,,AL27MPMEDPT-25,KILOGRAM,89.50,89.50,0.00,237.40,14-06-2015,21-06-2015
,,AL34MPMEDPT-10,KILOGRAM,104.50,104.50,0.00,252.40,14-06-2015,21-06-2015
,,CU0.115SSFINEPT-4,KILOGRAM,123.00,123.00,4.10,553.54,28-06-2015,
,,CU0.11SSFINEPT-4,KILOGRAM,111.00,111.00,4.10,541.54,28-06-2015,
,,CU0.12SSFINEPT-4,KILOGRAM,101.00,101.00,4.10,531.54,28-06-2015,
,,CU0.15SSFINEPT-10,KILOGRAM,76.00,76.00,4.10,506.54,28-06-2015,
,,CU0.17SSFINEPT-10,KILOGRAM,74.00,74.00,4.10,504.54,28-06-2015,
,,CU0.18SSFINEPT-10,KILOGRAM,74.00,74.00,4.10,504.54,28-06-2015,
,,CU0.19SSFINEPT-10,KILOGRAM,71.00,71.00,4.10,501.54,28-06-2015,
,,CU0.1SSFINEPT-4,KILOGRAM,116.00,116.00,4.10,546.54,28-06-2015,
Branch - Fbd,G K WINDING WIRES LTD. - FARIDABAD,,,,,,,,
,,AL0.91MPMPT-90,KILOGRAM,108.50,108.50,0.00,270.72,14-06-2015,21-06-2015
,,CU19.5FCMEDM-266,KILOGRAM,37.00,37.00,4.10,467.54,28-06-2015,
,,CU0.559DCMEDPT-25,KILOGRAM,50.00,50.00,0.00,511.59,14-06-2015,21-06-2015
,,CU41SSFINEPT-4,KILOGRAM,99.00,99.00,4.10,529.54,28-06-2015,
,,CU0.87DCFINEPT-180,KILOGRAM,100.00,100.00,0.00,998.97,14-06-2015,21-06-2015
,,CU0.112SSFINEPT-4,KILOGRAM,106.00,106.00,4.05,531.75,28-06-2015,
,,CU28MPMEDPT-25,KILOGRAM,44.00,44.00,4.05,510.34,28-06-2015,
,,AL1.03MPMEDM266,KILOGRAM,70.00,70.00,0.00,206.63,14-06-2015,21-06-2015
,,AL1.84MPMEDM266,KILOGRAM,70.00,70.00,0.00,206.63,14-06-2015,21-06-2015
,,AL2.22MPMEDM266,KILOGRAM,70.00,70.00,0.00,206.63,14-06-2015,21-06-2015
,,CU42SSFINEPT-4,KILOGRAM,150.00,150.00,4.10,580.54,28-06-2015,
,,CU1.4DCFINEPT-25,KILOGRAM,50.00,50.00,425.75,475.75,07-05-2015,
,,CU0.85DCMEDPT-90,KILOGRAM,40.00,40.00,1.03,500.13,17-06-2015,30-06-2015
,,CU0.87MPMEDPT-90,KILOGRAM,42.00,42.00,4.05,467.75,28-06-2015,
,,CU0.8DCMEDPT-90,KILOGRAM,40.00,40.00,1.03,500.13,17-06-2015,30-06-2015
,,CU0.95DCMEDPT-90,KILOGRAM,39.00,39.00,1.03,499.13,17-06-2015,30-06-2015
,,CU0.9DCMEDPT-90,KILOGRAM,39.00,39.00,1.03,499.13,17-06-2015,30-06-2015
,,CU16MPMEDM-266,KILOGRAM,39.00,39.00,4.10,469.54,28-06-2015,
,,CU18MPMEDM-266,KILOGRAM,39.00,39.00,4.10,469.54,28-06-2015,
,,CU1DCMEDPT-90,KILOGRAM,39.00,39.00,1.03,499.13,17-06-2015,30-06-2015
,,CU21MPMEDPT-25,KILOGRAM,40.00,40.00,4.10,470.54,28-06-2015,
,,CU0.67MPMEDPT-90,KILOGRAM,52.00,52.00,1.03,504.30,28-06-2015,
,,CU31FCMEDPT-10,KILOGRAM,52.00,52.00,0.00,503.23,14-06-2015,21-06-2015
,,CU38SSFINEPT-10,KILOGRAM,79.00,79.00,4.10,509.54,28-06-2015,
,,CU0.363HSSFINEPT-25,KILOGRAM,66.00,66.00,4.10,496.54,28-06-2015,
,,CU24MPMEDPT-25,KILOGRAM,43.00,43.00,4.10,473.54,28-06-2015,
,,CU22MPMEDM-266,KILOGRAM,40.00,40.00,4.10,470.54,28-06-2015,
,,CU17MPMEDM-266,KILOGRAM,39.00,39.00,4.10,469.54,28-06-2015,
,,CU18.5MPMEDM-266,KILOGRAM,39.00,39.00,4.10,469.54,28-06-2015,
,,CU0.27MCFINEPT-10,KILOGRAM,94.00,94.00,4.10,524.54,28-06-2015,
,,CU34FCMEDPT-10,KILOGRAM,55.00,55.00,4.10,485.54,28-06-2015,
,,CU23MPMEDPT-25,KILOGRAM,41.00,41.00,4.10,471.54,28-06-2015,
,,CU21.5MPMEDPT-25,KILOGRAM,40.00,40.00,4.10,470.54,28-06-2015,
,,CU20MPMEDPT-25,KILOGRAM,37.00,37.00,4.10,467.54,28-06-2015,
,,CU20.5MPMEDPT-25,KILOGRAM,40.00,40.00,4.10,470.54,28-06-2015,
,,CU19.5MPMEDPT-25,KILOGRAM,37.00,37.00,4.10,467.54,28-06-2015,
,,CU19MPMEDM-266,KILOGRAM,37.00,37.00,4.10,467.54,28-06-2015,
,,CU25MPMEDPT-25,KILOGRAM,43.00,43.00,4.10,473.54,28-06-2015,
,,CU22.5MPMEDM-266,KILOGRAM,41.00,41.00,4.10,471.54,28-06-2015,
,,CU19HCMEDM-266,KILOGRAM,37.00,37.00,4.10,467.54,28-06-2015,
,,CU22.5MPMEDPT-25,KILOGRAM,41.00,41.00,4.10,471.54,28-06-2015,
,,CU0.72MPMEDPT-90,KILOGRAM,52.00,52.00,1.03,504.30,28-06-2015,
,,AL1.59MPMEDM266,KILOGRAM,77.35,77.35,2.90,212.85,28-06-2015,
,,CU0.5DCFINEPT-90,KILOGRAM,42.00,42.00,1.03,502.13,17-06-2015,30-06-2015
,,CU0.35MCFINEPT-90,KILOGRAM,60.00,60.00,1.03,520.13,17-06-2015,30-06-2015
,,CU37*3SSMEDPT-10,KILOGRAM,155.00,155.00,3.91,566.81,28-06-2015,
,,CU40SSMEDPT-4,KILOGRAM,94.00,94.00,4.10,524.54,28-06-2015,
,,CU0.53MPMEDPT-90,KILOGRAM,56.00,56.00,1.03,508.30,28-06-2015,
,,AL20MPMEDPT-25,KILOGRAM,128.00,128.00,0.00,283.62,14-06-2015,21-06-2015
,,AL21MPMEDPT-25,KILOGRAM,130.00,130.00,0.00,285.62,14-06-2015,21-06-2015
,,AL22DCMEDPT-25,KILOGRAM,105.00,105.00,0.00,260.62,14-06-2015,21-06-2015
,,AL22DCMEDPT-90,KILOGRAM,150.00,150.00,0.00,310.90,14-06-2015,21-06-2015
,,AL22MPMEDPT-25,KILOGRAM,132.00,132.00,0.00,287.62,14-06-2015,21-06-2015
,,AL24MPMEDPT-25,KILOGRAM,132.00,132.00,2.90,267.50,28-06-2015,
,,AL25MPMEDPT-25,KILOGRAM,119.25,119.25,2.90,254.75,28-06-2015,
,,AL26MPMEDPT-25,KILOGRAM,109.00,109.00,2.90,244.50,28-06-2015,
,,AL27MPMEDPT25,KILOGRAM,114.00,114.00,2.90,249.50,28-06-2015,
,,AL27MPMEDPT-25,KILOGRAM,108.50,108.50,2.90,244.00,28-06-2015,
,,AL28MPMEDPT-10,KILOGRAM,119.00,119.00,2.90,254.50,28-06-2015,
,,AL28MPMEDPT-25,KILOGRAM,108.50,108.50,2.90,244.00,28-06-2015,
,,AL29MPMEDPT-10,KILOGRAM,121.00,121.00,0.00,276.62,14-06-2015,21-06-2015
,,AL29MPMEDPT-25,KILOGRAM,111.50,111.50,2.90,247.00,28-06-2015,
,,AL30MPMEDPT-10,KILOGRAM,114.50,114.50,2.90,250.00,28-06-2015,
,,AL30MPMEDPT-25,KILOGRAM,119.25,119.25,2.90,254.75,28-06-2015,
,,AL31MPMEDPT-10,KILOGRAM,117.50,117.50,2.90,253.00,28-06-2015,
,,AL32MPMEDPT-10,KILOGRAM,120.50,120.50,2.90,256.00,28-06-2015,
,,AL33MPMEDPT-10,KILOGRAM,125.25,125.25,2.90,260.75,28-06-2015,
,,AL34MPMEDPT-10,KILOGRAM,160.00,160.00,2.90,295.50,28-06-2015,
,,CU0.11SSFINEPT-4,KILOGRAM,108.00,108.00,4.10,538.54,28-06-2015,
,,CU0.16SSFINEPT-10,KILOGRAM,90.00,90.00,4.10,520.54,28-06-2015,
,,CU0.27SSFINEPT-10,KILOGRAM,61.00,61.00,4.10,491.54,28-06-2015,
,,CU0.29MCFINEPT-25,KILOGRAM,90.00,90.00,4.10,520.54,28-06-2015,
,,CU0.363SSFINEPT-25,KILOGRAM,66.00,66.00,4.10,496.54,28-06-2015,
,,CU0.508SSMEDPT-25,KILOGRAM,50.00,50.00,4.05,475.75,28-06-2015,
,,CU0.53DCFINEPT-25,KILOGRAM,54.00,54.00,0.00,493.20,14-06-2015,21-06-2015
,,CU0.55DCFINEPT-45,KILOGRAM,48.00,48.00,0.00,514.66,14-06-2015,21-06-2015
,,CU0.55MCFINEPT-45,KILOGRAM,66.00,66.00,0.00,532.66,14-06-2015,21-06-2015
,,CU0.57MCFINEPT-45,KILOGRAM,65.50,65.50,0.00,532.16,14-06-2015,21-06-2015
,,CU0.58DCMEDPT-90,KILOGRAM,42.00,42.00,1.03,502.13,17-06-2015,30-06-2015
,,CU0.65DCFINEPT-45,KILOGRAM,48.00,48.00,0.00,514.66,14-06-2015,21-06-2015
,,CU0.65DCMEDPT-90,KILOGRAM,29.00,29.00,1.03,489.13,17-06-2015,30-06-2015
,,CU0.65MCFINEPT-45,KILOGRAM,64.00,64.00,0.00,530.66,14-06-2015,21-06-2015
,,CU0.6DCFINEPT-45,KILOGRAM,48.00,48.00,0.00,514.66,14-06-2015,21-06-2015
,,CU0.6MCFINEPT-25,KILOGRAM,72.00,72.00,4.10,502.54,28-06-2015,
,,CU0.6MCFINEPT-45,KILOGRAM,65.00,65.00,0.00,531.66,14-06-2015,21-06-2015
,,CU0.72MPMEDPT-45,KILOGRAM,52.00,52.00,3.91,463.81,28-06-2015,
,,CU0.75DCMEDPT-45,KILOGRAM,42.90,42.90,4.05,468.65,28-06-2015,
,,CU38SSMEDPT-4,KILOGRAM,97.00,97.00,4.10,527.54,28-06-2015,
,,CU39SSMEDPT-4,KILOGRAM,87.00,87.00,4.10,517.54,28-06-2015,
,,CU40SSFINEPT-4,KILOGRAM,98.00,98.00,4.10,528.54,28-06-2015,
,,CU42SSMEDPT-4,KILOGRAM,129.00,129.00,4.10,559.54,28-06-2015,
,,CU0.65DCFINEPT-90,KILOGRAM,40.00,40.00,1.03,500.13,17-06-2015,30-06-2015
,,AL0.75MPMEDPT-90,KILOGRAM,107.50,107.50,0.00,258.72,14-06-2015,21-06-2015
,,CU32SSFINEPT-10,KILOGRAM,65.00,65.00,4.10,495.54,28-06-2015,
,,CU42*10SSFINEPT-10,KILOGRAM,229.00,229.00,3.91,640.81,28-06-2015,
,,CU0.15SSFINEPT-10,KILOGRAM,79.00,79.00,4.10,509.54,28-06-2015,
,,CU0.6DCFINEPT-90,KILOGRAM,40.00,40.00,1.03,500.13,17-06-2015,30-06-2015
,,CU0.55DCFINEPT-90,KILOGRAM,44.00,44.00,1.03,504.13,17-06-2015,30-06-2015
,,CU0.45DCFINEPT-90,KILOGRAM,42.00,42.00,1.03,502.13,17-06-2015,30-06-2015
,,CU13BARE WIRE,KILOGRAM,10.00,10.00,0.00,459.33,14-06-2015,21-06-2015
,,CU0.7MPMEDPT-90,KILOGRAM,52.00,52.00,1.03,504.30,28-06-2015,
,,CU22FCMEDM-266,KILOGRAM,44.00,44.00,4.10,474.54,28-06-2015,
,,CU23.5DCMEDPT-25,KILOGRAM,46.00,46.00,4.10,476.54,28-06-2015,
,,CU23SSFINEPT-25,KILOGRAM,47.00,47.00,4.10,477.54,28-06-2015,
,,CU24DCMEDPT-25,KILOGRAM,67.00,67.00,4.10,497.54,28-06-2015,
,,CU25DCMEDPT-25,KILOGRAM,68.00,68.00,4.10,498.54,28-06-2015,
,,CU25FCMEDPT-25,KILOGRAM,47.00,47.00,4.10,477.54,28-06-2015,
,,CU25SSFINEPT-25,KILOGRAM,49.00,49.00,4.10,479.54,28-06-2015,
,,CU26DCMEDPT-25,KILOGRAM,69.00,69.00,4.10,499.54,28-06-2015,
,,CU26FCMEDPT-25,KILOGRAM,47.00,47.00,4.10,477.54,28-06-2015,
,,CU26MPFINEPT-25,KILOGRAM,41.00,41.00,4.05,466.75,28-06-2015,
,,CU26MPMEDPT-25,KILOGRAM,44.00,44.00,4.10,474.54,28-06-2015,
,,CU27FCFINEPT-25,KILOGRAM,42.00,42.00,4.10,472.54,28-06-2015,
,,CU27FCMEDPT-25,KILOGRAM,47.00,47.00,4.10,477.54,28-06-2015,
,,CU27MPFINEPT-25,KILOGRAM,42.00,42.00,4.10,472.54,28-06-2015,
,,CU27MPMEDPT-25,KILOGRAM,46.00,46.00,4.10,476.54,28-06-2015,
,,CU27SSFINEPT-25,KILOGRAM,53.00,53.00,4.10,483.54,28-06-2015,
,,CU28DCMEDPT-25,KILOGRAM,61.00,61.00,4.05,486.75,28-06-2015,
,,CU29DCMEDPT-25,KILOGRAM,71.00,71.00,4.10,501.54,28-06-2015,
,,CU29MPMEDPT-25,KILOGRAM,110.00,110.00,1.03,168.59,28-06-2015,
,,CU30DCMEDPT-10,KILOGRAM,72.00,72.00,4.10,502.54,28-06-2015,
,,CU30MPMEDPT-10,KILOGRAM,112.00,112.00,1.03,170.59,28-06-2015,
,,CU30SSMEDPT-10,KILOGRAM,80.00,80.00,4.10,510.54,28-06-2015,
,,CU31DCMEDPT-10,KILOGRAM,70.00,70.00,4.10,500.54,28-06-2015,
,,CU32DCMEDPT-25,KILOGRAM,74.00,74.00,4.10,504.54,28-06-2015,
,,CU32MPMEDPT-10,KILOGRAM,56.00,56.00,1.03,514.49,28-06-2015,
,,CU32SSMEDPT-10,KILOGRAM,65.00,65.00,4.10,495.54,28-06-2015,
,,CU33.5DCFINEPT-10,KILOGRAM,74.00,74.00,4.10,504.54,28-06-2015,
,,CU33DCMEDPT-10,KILOGRAM,71.00,71.00,4.10,501.54,28-06-2015,
,,CU33FCMEDPT-10,KILOGRAM,54.00,54.00,4.10,484.54,28-06-2015,
,,CU33MCFINEPT-25,KILOGRAM,91.00,91.00,4.10,521.54,28-06-2015,
,,CU34SSFINEPT-10,KILOGRAM,67.00,67.00,4.10,497.54,28-06-2015,
,,CU34SSMEDPT-10,KILOGRAM,70.00,70.00,4.10,481.18,28-06-2015,
,,CU35SSMEDPT-10,KILOGRAM,72.00,72.00,3.91,483.81,28-06-2015,
,,CU36*4SSMEDPT-10,KILOGRAM,166.00,166.00,4.10,596.54,28-06-2015,
,,CU36FCMEDPT-10,KILOGRAM,58.00,58.00,4.10,488.54,28-06-2015,
,,CU36SSMEDPT-10,KILOGRAM,72.00,72.00,4.10,502.54,28-06-2015,
,,CU37FCMEDPT-10,KILOGRAM,63.00,63.00,4.10,493.54,28-06-2015,
,,CU37MPMEDPT-10,KILOGRAM,56.00,56.00,1.03,114.59,28-06-2015,
,,CU37SSMEDPT-10,KILOGRAM,77.00,77.00,4.10,507.54,28-06-2015,
,,CU38*3SSMEDPT-10,KILOGRAM,165.00,165.00,4.10,595.54,28-06-2015,
,,CU38FCMEDPT-10,KILOGRAM,71.00,71.00,4.10,501.54,28-06-2015,
,,CU38SSMEDPT-10,KILOGRAM,79.00,79.00,4.10,509.54,28-06-2015,
Branch - Pune,G K WINDING WIRES LTD. - PUNE,,,,,,,,
,,CU38SSFINEPT-10,KILOGRAM,90.00,90.00,4.10,497.42,28-06-2015,
,,CU36SSMEDPT-10,KILOGRAM,72.00,72.00,4.10,502.54,28-06-2015,
