,Invoice Id,Invoice Date,Item Description,Currency,Customer,Qty,Unit,Gross,Discount,EXCISE ON SALES - 12.50%,EXCISE ON SALES - 14.50%,OUTPUT VAT PAYABLE  @ 4%,OUTPUT VAT PAYABLE ADDITIONAL @ 1%,CENTRAL SALES TAX PAYABLE - 2% EOU,CENTRAL SALES TAX PAYABLE - 2.00%,CENTRAL SALES TAX PAYABLE - 5%,,Net Amount
,SI000029,03-04-2015,CU0.8DCFINEPT-90,INR,Denso India Ltd.,398.275,KG,185166.013,0.000,23146.000,0.000,8332.000,2083.000,0.000,0.000,0.000,0.000,218727.013
,SI000030,03-04-2015,CU0.83DCFINEPT-90,INR,Denso India Ltd.,718.995,KG,334275.155,0.000,41784.000,0.000,15042.000,3761.000,0.000,0.000,0.000,0.000,394862.155
,SI000031,03-04-2015,CU0.85DCMEDPT-90,INR,Denso India Ltd.,279.520,KG,129954.438,0.000,16244.000,0.000,5848.000,1462.000,0.000,0.000,0.000,0.000,153508.438
,SI000032,03-04-2015,CU0.9MPFINEPT-90,INR,Denso India Ltd.,234.260,KG,106335.299,0.000,13292.000,0.000,4785.000,1196.000,0.000,0.000,0.000,0.000,125608.299
,SI000033,03-04-2015,CU0.9DCMEDPT-90,INR,Denso India Ltd.,538.765,KG,249943.859,0.000,31243.000,0.000,11247.000,2812.000,0.000,0.000,0.000,0.000,295245.859
,SI000034,03-04-2015,CU1DCFINEPT90,INR,Denso India Ltd.,503.465,KG,233064.018,0.000,29133.000,0.000,10488.000,2622.000,0.000,0.000,0.000,0.000,275307.018
,SI000035,03-04-2015,CU1.05DCMEDPT-90,INR,Denso India Ltd.,251.385,KG,116622.529,0.000,14578.000,0.000,5248.000,1312.000,0.000,0.000,0.000,0.000,137760.529
,SI000036,03-04-2015,CU1.15DCFINEPT-180,INR,Denso India Ltd.,178.160,KG,82651.987,0.000,10331.000,0.000,3719.000,930.000,0.000,0.000,0.000,0.000,97631.987
,SI000037,03-04-2015,CU1.22MCFINEPT-90,INR,Denso India Ltd.,84.185,KG,40822.990,0.000,5103.000,0.000,1837.000,459.000,0.000,0.000,0.000,0.000,48221.990
,SI000038,03-04-2015,CU1.3MCFINEPT-180,INR,Denso India Ltd.,186.260,KG,90321.199,0.000,11290.000,0.000,4064.000,1016.000,0.000,0.000,0.000,0.000,106691.199
,SI000039,03-04-2015,CU1.9MPMEDPT-180,INR,Denso India Ltd.,300.820,KG,137450.674,0.000,17181.000,0.000,6185.000,1546.000,0.000,0.000,0.000,0.000,162362.674
,SI000042,03-04-2015,CU25MPFINEPT-25,INR,ONKAR ENGINE & GEN (P) LTD,365.155,KG,170786.645,0.000,21348.000,0.000,7685.000,1921.000,0.000,0.000,0.000,0.000,201740.645
,,,CU26MPFINEPT-25,INR,ONKAR ENGINE & GEN (P) LTD,554.290,KG,259246.976,0.000,32406.000,0.000,11666.000,2917.000,0.000,0.000,0.000,0.000,306235.976
,,,CU28MPFINEPT-25,INR,ONKAR ENGINE & GEN (P) LTD,210.665,KG,98740.792,0.000,12343.000,0.000,4443.000,1111.000,0.000,0.000,0.000,0.000,116637.792
,SI000043,03-04-2015,CU0.11SSFINEPT-4,INR,ANU INDUSTRIES LTD (HARIDWAR),504.480,KG,282639.965,0.000,35330.000,0.000,0.000,0.000,0.000,6359.000,0.000,0.000,324328.965
,SI000044,03-04-2015,CU0.22SSFINEPT-10,INR,DixonTechnologies (India) P.Ltd.(DUNIII),368.850,KG,191517.986,0.000,23940.000,0.000,0.000,0.000,0.000,4309.000,0.000,0.000,219766.986
,SI000045,03-04-2015,CU35SSMEDPT-10,INR,N.J.ELECTRONICS,305.595,KG,160202.067,0.000,20025.000,0.000,7209.000,1802.000,0.000,0.000,0.000,0.000,189238.067
,SI000046,03-04-2015,CU0.1SSFINEPT-4,INR,N.J.ELECTRONICS,99.430,KG,56399.679,0.000,7050.000,0.000,2538.000,634.000,0.000,0.000,0.000,0.000,66621.679
,SI000047,03-04-2015,CU0.58DCMEDPT-90,INR,G K WINDING WIRES LTD. - FARIDABAD,488.720,KG,227880.362,0.000,28485.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,256365.362
,,,CU0.72MPMEDPT-45,INR,G K WINDING WIRES LTD. - FARIDABAD,626.185,KG,303399.156,0.000,37925.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,341324.156
,,,CU0.8DCMEDPT-90,INR,G K WINDING WIRES LTD. - FARIDABAD,489.310,KG,227490.005,0.000,28436.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,255926.005
,,,CU0.95DCMEDPT-90,INR,G K WINDING WIRES LTD. - FARIDABAD,670.050,KG,310849.596,0.000,38856.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,349705.596
,,,CU1DCMEDPT-90,INR,G K WINDING WIRES LTD. - FARIDABAD,951.630,KG,441480.190,0.000,55185.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,496665.190
,,,CU36FCMEDPT-10,INR,G K WINDING WIRES LTD. - FARIDABAD,152.580,KG,77855.471,0.000,9732.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,87587.471
,SI000048,03-04-2015,CU26MPFINEPT-25,INR,G K WINDING WIRES LTD. - DELHI,216.975,KG,105608.242,0.000,13201.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,118809.242
,,,CU34MPMEDPT-10,INR,G K WINDING WIRES LTD. - DELHI,504.705,KG,249828.975,0.000,31229.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,281057.975
,,,CU38MPFINEPT-10,INR,G K WINDING WIRES LTD. - DELHI,450.060,KG,230534.234,0.000,28817.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,259351.234
,SI000049,03-04-2015,CCA0.23SSFINEPT-10,INR,G K WINDING WIRES LTD. - DELHI,92.175,KG,50696.250,0.000,6337.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,57033.250
,SI000050,04-04-2015,CU0.6MPFINEPT-90,INR,Denso India Ltd.,85.545,KG,38830.590,0.000,4854.000,0.000,1747.000,437.000,0.000,0.000,0.000,0.000,45868.590
,SI000051,04-04-2015,CU0.7MPMEDPT-90,INR,Denso India Ltd.,395.600,KG,179570.750,0.000,22446.000,0.000,8081.000,2020.000,0.000,0.000,0.000,0.000,212117.750
,SI000052,04-04-2015,CU0.75MPFINEPT-90,INR,Denso India Ltd.,76.140,KG,34561.470,0.000,4320.000,0.000,1555.000,389.000,0.000,0.000,0.000,0.000,40825.470
,SI000053,04-04-2015,CU0.78DCFINEPT-90,INR,Denso India Ltd.,81.590,KG,37932.820,0.000,4742.000,0.000,1707.000,427.000,0.000,0.000,0.000,0.000,44808.820
,SI000054,04-04-2015,CU0.8DCFINEPT-90,INR,Denso India Ltd.,243.160,KG,113049.950,0.000,14131.000,0.000,5087.000,1272.000,0.000,0.000,0.000,0.000,133539.950
,SI000055,04-04-2015,CU0.83DCFINEPT-90,INR,Denso India Ltd.,664.500,KG,308939.340,0.000,38617.000,0.000,13902.000,3476.000,0.000,0.000,0.000,0.000,364934.340
,SI000056,04-04-2015,CU0.85DCMEDPT-90,INR,Denso India Ltd.,248.000,KG,115300.160,0.000,14413.000,0.000,5189.000,1297.000,0.000,0.000,0.000,0.000,136199.160
,SI000057,04-04-2015,CU0.9MPFINEPT-90,INR,Denso India Ltd.,231.905,KG,105266.320,0.000,13158.000,0.000,4737.000,1184.000,0.000,0.000,0.000,0.000,124345.320
,SI000058,04-04-2015,CU0.9DCMEDPT-90,INR,Denso India Ltd.,924.355,KG,428826.770,0.000,53603.000,0.000,19297.000,4824.000,0.000,0.000,0.000,0.000,506550.770
,SI000059,04-04-2015,CU1DCMEDPT-90,INR,Denso India Ltd.,501.145,KG,232491.190,0.000,29061.000,0.000,10462.000,2616.000,0.000,0.000,0.000,0.000,274630.190
,SI000060,04-04-2015,CU1DCFINEPT90,INR,Denso India Ltd.,998.615,KG,462278.860,0.000,57785.000,0.000,20803.000,5201.000,0.000,0.000,0.000,0.000,546067.860
,SI000061,04-04-2015,CU1.05DCMEDPT-90,INR,Denso India Ltd.,256.240,KG,118874.860,0.000,14859.000,0.000,5349.000,1337.000,0.000,0.000,0.000,0.000,140419.860
,SI000062,04-04-2015,CU1.22MCFINEPT-90,INR,Denso India Ltd.,84.595,KG,41021.810,0.000,5128.000,0.000,1846.000,461.000,0.000,0.000,0.000,0.000,48456.810
,SI000063,04-04-2015,CU1.9MPMEDPT-180,INR,Denso India Ltd.,655.660,KG,299584.170,0.000,37448.000,0.000,13481.000,3370.000,0.000,0.000,0.000,0.000,353883.170
,SI000065,04-04-2015,CU0.102SSHFINEPT-4,INR,C&S Electricals Ltd.(LVCom.Div),283.090,KG,159727.871,0.000,19966.000,0.000,7188.000,1797.000,0.000,0.000,0.000,0.000,188678.871
,,,CU0.125SSHFINEPT-4,INR,C&S Electricals Ltd.(LVCom.Div),283.715,KG,154406.214,0.000,19301.000,0.000,6948.000,1737.000,0.000,0.000,0.000,0.000,182392.214
,,,CU0.132SSHFINEPT-4,INR,C&S Electricals Ltd.(LVCom.Div),342.850,KG,185903.556,0.000,23238.000,0.000,8366.000,2091.000,0.000,0.000,0.000,0.000,219598.556
,,,CU0.14SSHFINEPT-10,INR,C&S Electricals Ltd.(LVCom.Div),197.825,KG,106475.350,0.000,13309.000,0.000,4791.000,1198.000,0.000,0.000,0.000,0.000,125773.350
,,,CU0.152SSHFINEPT-10,INR,C&S Electricals Ltd.(LVCom.Div),298.055,KG,159527.978,0.000,19941.000,0.000,7179.000,1795.000,0.000,0.000,0.000,0.000,188442.978
,,,CU0.16SSHFINEPT-10,INR,C&S Electricals Ltd.(LVCom.Div),600.975,KG,321659.849,0.000,40208.000,0.000,14475.000,3619.000,0.000,0.000,0.000,0.000,379961.849
,SI000066,04-04-2015,CU0.173SSHFINEPT-10,INR,C&S Electricals Ltd.(LVCom.Div),327.245,KG,174496.851,0.000,21812.000,0.000,7852.000,1963.000,0.000,0.000,0.000,0.000,206123.851
,,,CU0.193SSHFINEPT-10,INR,C&S Electricals Ltd.(LVCom.Div),392.165,KG,207937.648,0.000,25992.000,0.000,9357.000,2339.000,0.000,0.000,0.000,0.000,245625.648
,,,CU0.224SSHFINEPT-10,INR,C&S Electricals Ltd.(LVCom.Div),301.535,KG,158978.298,0.000,19872.000,0.000,7154.000,1789.000,0.000,0.000,0.000,0.000,187793.298
,,,CU0.234SSHFINEPT-10,INR,C&S Electricals Ltd.(LVCom.Div),423.750,KG,222989.962,0.000,27874.000,0.000,10035.000,2509.000,0.000,0.000,0.000,0.000,263407.962
,,,CU0.254SSHFINEPT-10,INR,C&S Electricals Ltd.(LVCom.Div),515.485,KG,270748.187,0.000,33844.000,0.000,12184.000,3046.000,0.000,0.000,0.000,0.000,319822.187
,SI000067,04-04-2015,CU1.00 BARE WIRE (JW),INR,Mandeep Cables P Ltd,2962.000,KG,25177.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25177.000
,SI000068,04-04-2015,CU0.125SSHFINEPT-4,INR,C & S Electric Ltd.(NSEZ),199.205,KG,108413.337,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,108413.337
,,,CU0.132SSHFINEPT-4,INR,C & S Electric Ltd.(NSEZ),282.095,KG,152960.372,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,152960.372
,,,CU0.152SSHFINEPT-10,INR,C & S Electric Ltd.(NSEZ),304.805,KG,163140.780,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,163140.780
,SI000069,04-04-2015,CU0.15*3SSFINEPT-10,INR,DixonTechnologies (India) P.Ltd.(DUNIII),33.425,KG,20138.562,0.000,2517.000,0.000,0.000,0.000,0.000,453.000,0.000,0.000,23108.562
,SI000070,04-04-2015,CU0.22SSFINEPT-10,INR,DixonTechnologies (India) P.Ltd.(DUNIII),428.730,KG,222609.478,0.000,27826.000,0.000,0.000,0.000,0.000,5009.000,0.000,0.000,255444.478
,,,CU0.2SSFINEPT-10,INR,DixonTechnologies (India) P.Ltd.(DUNIII),216.935,KG,113506.900,0.000,14188.000,0.000,0.000,0.000,0.000,2554.000,0.000,0.000,130248.900
,SI000071,04-04-2015,CU0.18SSMEDPT-10,INR,N.J.ELECTRONICS,118.030,KG,62819.107,0.000,7852.000,0.000,2827.000,707.000,0.000,0.000,0.000,0.000,74205.107
,SI000072,04-04-2015,CU1.05MCMEDPT-90,INR,Denso India Ltd.,423.840,KG,205528.493,0.000,25691.000,0.000,9249.000,2312.000,0.000,0.000,0.000,0.000,242780.493
,SI000073,04-04-2015,CU16MPMEDM-266,INR,G K WINDING WIRES LTD. - DELHI,23.850,KG,11621.151,0.000,1453.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13074.151
,,,CU22.5HCMEDPT-25,INR,G K WINDING WIRES LTD. - DELHI,103.820,KG,51573.623,0.000,6447.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,58020.623
,SI000074,04-04-2015,CU0.55DCMEDPT-90,INR,L G Electronics India (P) Ltd,707.290,KG,336528.582,0.000,42066.000,0.000,15144.000,3786.000,0.000,0.000,0.000,0.000,397524.582
,SI000075,04-04-2015,CU0.18SSMEDPT-10,INR,VICTOR COMPONENT SYSTEMS P LTD. Noida,17.320,KG,9131.624,0.000,1141.000,0.000,411.000,103.000,0.000,0.000,0.000,0.000,10786.624
,SI000076,04-04-2015,CU30SSMEDPT-10,INR,Kanik Electronics Pvt Ltd,516.370,KG,260369.245,0.000,32546.000,0.000,0.000,0.000,0.000,5858.000,0.000,0.000,298773.245
,,,CU34SSMEDPT-10,INR,Kanik Electronics Pvt Ltd,418.140,KG,212511.292,0.000,26564.000,0.000,0.000,0.000,0.000,4782.000,0.000,0.000,243857.292
,,,CU38*4SSMEDPT-10,INR,Kanik Electronics Pvt Ltd,201.445,KG,121719.112,0.000,15215.000,0.000,0.000,0.000,0.000,2739.000,0.000,0.000,139673.112
,SI000077,04-04-2015,CU0.53DCFINEPT-25,INR,G K WINDING WIRES LTD. - FARIDABAD,656.310,KG,318572.874,0.000,39822.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,358394.874
,,,CU38SSMEDPT-10,INR,G K WINDING WIRES LTD. - FARIDABAD,73.825,KG,39220.270,0.000,4903.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,44123.270
,SI000078,04-04-2015,CU19MPMEDM-266,INR,G K WINDING WIRES LTD. - FARIDABAD,102.110,KG,50162.559,0.000,6270.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,56432.559
,,,CU22MPMEDM-266,INR,G K WINDING WIRES LTD. - FARIDABAD,67.545,KG,33249.702,0.000,4156.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,37405.702
,,,CU36FCMEDPT-10,INR,G K WINDING WIRES LTD. - FARIDABAD,119.445,KG,60948.006,0.000,7619.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,68567.006
,SI000079,05-04-2015,AL0.75MPMEDPT-90,INR,G K WINDING WIRES LTD. - FARIDABAD,240.985,KG,65415.378,0.000,8177.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,73592.378
,,,AL29MPMEDPT-25,INR,G K WINDING WIRES LTD. - FARIDABAD,642.780,KG,164969.487,0.000,20621.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,185590.487
,SI000080,05-04-2015,CU0.55DCFINEPT-45,INR,G K WINDING WIRES LTD. - FARIDABAD,918.000,KG,440089.200,0.000,55011.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,495100.200
,,,CU0.6DCFINEPT-45,INR,G K WINDING WIRES LTD. - FARIDABAD,899.200,KG,431076.480,0.000,53885.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,484961.480
,,,CU0.7MPMEDPT-90,INR,G K WINDING WIRES LTD. - FARIDABAD,725.135,KG,340276.850,0.000,42535.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,382811.850
,SI000081,05-04-2015,CU18.5MPMEDM-266,INR,G K WINDING WIRES LTD. - FARIDABAD,105.355,KG,49016.414,0.000,6127.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,55143.414
,,,CU34FCMEDPT-10,INR,G K WINDING WIRES LTD. - FARIDABAD,132.640,KG,66485.800,0.000,8311.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,74796.800
,SI000082,06-04-2015,CU28MPFINEPT-25,INR,ONKAR ENGINE & GEN (P) LTD,451.985,KG,209287.134,0.000,26161.000,0.000,9418.000,2354.000,0.000,0.000,0.000,0.000,247220.134
,,,CU29MPFINEPT25,INR,ONKAR ENGINE & GEN (P) LTD,506.900,KG,235221.876,0.000,29403.000,0.000,10585.000,2646.000,0.000,0.000,0.000,0.000,277855.876
,,,CU32MPFINEPT-10,INR,ONKAR ENGINE & GEN (P) LTD,476.550,KG,221614.812,0.000,27702.000,0.000,9973.000,2493.000,0.000,0.000,0.000,0.000,261782.812
,,,CU34MPFINEPT-10,INR,ONKAR ENGINE & GEN (P) LTD,273.440,KG,127433.978,0.000,15929.000,0.000,5735.000,1434.000,0.000,0.000,0.000,0.000,150531.978
,SI000083,06-04-2015,CU0.6MPFINEPT-90,INR,Denso India Ltd.,84.195,KG,38217.794,0.000,4777.000,0.000,1720.000,430.000,0.000,0.000,0.000,0.000,45144.794
,SI000084,06-04-2015,CU0.7MPMEDPT-90,INR,Denso India Ltd.,468.905,KG,212845.358,0.000,26606.000,0.000,9578.000,2395.000,0.000,0.000,0.000,0.000,251424.358
,SI000085,06-04-2015,CU0.83DCFINEPT-90,INR,Denso India Ltd.,483.020,KG,224565.658,0.000,28071.000,0.000,10105.000,2526.000,0.000,0.000,0.000,0.000,265267.658
